Points removed: 0, Discriminating Tests: 9410
Points removed: 1, Discriminating Tests: 7849
Points removed: 2, Discriminating Tests: 9258
Points removed: 3, Discriminating Tests: 9809
Points removed: 4, Discriminating Tests: 8913
Points removed: 5, Discriminating Tests: 8468
Points removed: 6, Discriminating Tests: 8911
Points removed: 7, Discriminating Tests: 8924
Points removed: 8, Discriminating Tests: 8622
Points removed: 9, Discriminating Tests: 8919
Points removed: 10, Discriminating Tests: 8891
Points removed: 11, Discriminating Tests: 9443
Points removed: 12, Discriminating Tests: 8373
Points removed: 13, Discriminating Tests: 8930
Points removed: 14, Discriminating Tests: 8967
Points removed: 15, Discriminating Tests: 8339
Points removed: 16, Discriminating Tests: 8772
Points removed: 17, Discriminating Tests: 9043
Points removed: 18, Discriminating Tests: 9033
Points removed: 19, Discriminating Tests: 8957
Points removed: 20, Discriminating Tests: 9885
Points removed: 21, Discriminating Tests: 9675
Points removed: 22, Discriminating Tests: 9442
Points removed: 23, Discriminating Tests: 9493
Points removed: 24, Discriminating Tests: 9644
Points removed: 25, Discriminating Tests: 9709
Points removed: 26, Discriminating Tests: 10215
Points removed: 27, Discriminating Tests: 10248
Points removed: 28, Discriminating Tests: 10061
Points removed: 29, Discriminating Tests: 10232
Points removed: 30, Discriminating Tests: 10200
Points removed: 31, Discriminating Tests: 10746
Points removed: 32, Discriminating Tests: 11622
Points removed: 33, Discriminating Tests: 11149
Points removed: 34, Discriminating Tests: 11157
Points removed: 35, Discriminating Tests: 11510
Points removed: 36, Discriminating Tests: 11575
Points removed: 37, Discriminating Tests: 12160
Points removed: 38, Discriminating Tests: 12394
Points removed: 39, Discriminating Tests: 12502
