Points removed: 0, Discriminating Tests: 10759
Points removed: 1, Discriminating Tests: 9337
Points removed: 2, Discriminating Tests: 8492
Points removed: 3, Discriminating Tests: 7742
Points removed: 4, Discriminating Tests: 6111
Points removed: 5, Discriminating Tests: 5819
Points removed: 6, Discriminating Tests: 5686
Points removed: 7, Discriminating Tests: 5257
Points removed: 8, Discriminating Tests: 3359
Points removed: 9, Discriminating Tests: 2340
Points removed: 10, Discriminating Tests: 2065
Points removed: 11, Discriminating Tests: 2527
Points removed: 12, Discriminating Tests: 1596
Points removed: 13, Discriminating Tests: 1353
Points removed: 14, Discriminating Tests: 131
Points removed: 15, Discriminating Tests: 159
Points removed: 16, Discriminating Tests: 231
Points removed: 17, Discriminating Tests: 2002
Points removed: 18, Discriminating Tests: 809
Points removed: 19, Discriminating Tests: 2274
Points removed: 20, Discriminating Tests: 2371
Points removed: 21, Discriminating Tests: 3788
Points removed: 22, Discriminating Tests: 3461
Points removed: 23, Discriminating Tests: 3821
Points removed: 24, Discriminating Tests: 4911
Points removed: 25, Discriminating Tests: 4523
Points removed: 26, Discriminating Tests: 5760
Points removed: 27, Discriminating Tests: 6286
Points removed: 28, Discriminating Tests: 5922
Points removed: 29, Discriminating Tests: 6955
Points removed: 30, Discriminating Tests: 8500
Points removed: 31, Discriminating Tests: 9096
Points removed: 32, Discriminating Tests: 8507
Points removed: 33, Discriminating Tests: 9628
Points removed: 34, Discriminating Tests: 10177
Points removed: 35, Discriminating Tests: 11217
Points removed: 36, Discriminating Tests: 10095
Points removed: 37, Discriminating Tests: 11426
Points removed: 38, Discriminating Tests: 12025
Points removed: 39, Discriminating Tests: 11967
