Points removed: 0, Discriminating Tests: 7926
Points removed: 1, Discriminating Tests: 6931
Points removed: 2, Discriminating Tests: 5937
Points removed: 3, Discriminating Tests: 6737
Points removed: 4, Discriminating Tests: 5671
Points removed: 5, Discriminating Tests: 6417
Points removed: 6, Discriminating Tests: 6441
Points removed: 7, Discriminating Tests: 4287
Points removed: 8, Discriminating Tests: 5495
Points removed: 9, Discriminating Tests: 3683
Points removed: 10, Discriminating Tests: 4129
Points removed: 11, Discriminating Tests: 3112
Points removed: 12, Discriminating Tests: 3608
Points removed: 13, Discriminating Tests: 2892
Points removed: 14, Discriminating Tests: 4167
Points removed: 15, Discriminating Tests: 3119
Points removed: 16, Discriminating Tests: 2365
Points removed: 17, Discriminating Tests: 2079
Points removed: 18, Discriminating Tests: 4156
Points removed: 19, Discriminating Tests: 1201
Points removed: 20, Discriminating Tests: 660
Points removed: 21, Discriminating Tests: 638
Points removed: 22, Discriminating Tests: 630
Points removed: 23, Discriminating Tests: 317
Points removed: 24, Discriminating Tests: 1846
Points removed: 25, Discriminating Tests: 1399
Points removed: 26, Discriminating Tests: 1629
Points removed: 27, Discriminating Tests: 2892
Points removed: 28, Discriminating Tests: 2739
Points removed: 29, Discriminating Tests: 3123
Points removed: 30, Discriminating Tests: 1923
Points removed: 31, Discriminating Tests: 4581
Points removed: 32, Discriminating Tests: 4256
Points removed: 33, Discriminating Tests: 4745
Points removed: 34, Discriminating Tests: 4950
Points removed: 35, Discriminating Tests: 4382
Points removed: 36, Discriminating Tests: 5937
Points removed: 37, Discriminating Tests: 6319
Points removed: 38, Discriminating Tests: 7639
Points removed: 39, Discriminating Tests: 6450
