Points removed: 0, Discriminating Tests: 9662
Points removed: 1, Discriminating Tests: 9542
Points removed: 2, Discriminating Tests: 9384
Points removed: 3, Discriminating Tests: 9071
Points removed: 4, Discriminating Tests: 8989
Points removed: 5, Discriminating Tests: 9603
Points removed: 6, Discriminating Tests: 9441
Points removed: 7, Discriminating Tests: 9462
Points removed: 8, Discriminating Tests: 10666
Points removed: 9, Discriminating Tests: 11437
Points removed: 10, Discriminating Tests: 10981
Points removed: 11, Discriminating Tests: 9713
Points removed: 12, Discriminating Tests: 10873
Points removed: 13, Discriminating Tests: 10593
Points removed: 14, Discriminating Tests: 11723
Points removed: 15, Discriminating Tests: 11449
Points removed: 16, Discriminating Tests: 11204
Points removed: 17, Discriminating Tests: 11789
Points removed: 18, Discriminating Tests: 11808
Points removed: 19, Discriminating Tests: 12223
Points removed: 20, Discriminating Tests: 12284
Points removed: 21, Discriminating Tests: 12817
Points removed: 22, Discriminating Tests: 13657
Points removed: 23, Discriminating Tests: 12091
Points removed: 24, Discriminating Tests: 13143
Points removed: 25, Discriminating Tests: 13441
Points removed: 26, Discriminating Tests: 13991
Points removed: 27, Discriminating Tests: 12890
Points removed: 28, Discriminating Tests: 13010
Points removed: 29, Discriminating Tests: 13167
Points removed: 30, Discriminating Tests: 14531
Points removed: 31, Discriminating Tests: 14680
Points removed: 32, Discriminating Tests: 14596
Points removed: 33, Discriminating Tests: 13740
Points removed: 34, Discriminating Tests: 13863
Points removed: 35, Discriminating Tests: 15598
Points removed: 36, Discriminating Tests: 15606
Points removed: 37, Discriminating Tests: 14922
Points removed: 38, Discriminating Tests: 16042
Points removed: 39, Discriminating Tests: 15200
