Points removed: 0, Discriminating Tests: 8804
Points removed: 1, Discriminating Tests: 9337
Points removed: 2, Discriminating Tests: 9128
Points removed: 3, Discriminating Tests: 7933
Points removed: 4, Discriminating Tests: 7408
Points removed: 5, Discriminating Tests: 8383
Points removed: 6, Discriminating Tests: 7379
Points removed: 7, Discriminating Tests: 7283
Points removed: 8, Discriminating Tests: 7487
Points removed: 9, Discriminating Tests: 7757
Points removed: 10, Discriminating Tests: 8751
Points removed: 11, Discriminating Tests: 7969
Points removed: 12, Discriminating Tests: 7973
Points removed: 13, Discriminating Tests: 8192
Points removed: 14, Discriminating Tests: 8961
Points removed: 15, Discriminating Tests: 9032
Points removed: 16, Discriminating Tests: 7999
Points removed: 17, Discriminating Tests: 9882
Points removed: 18, Discriminating Tests: 9263
Points removed: 19, Discriminating Tests: 9570
Points removed: 20, Discriminating Tests: 10250
Points removed: 21, Discriminating Tests: 10553
Points removed: 22, Discriminating Tests: 10147
Points removed: 23, Discriminating Tests: 10677
Points removed: 24, Discriminating Tests: 10397
Points removed: 25, Discriminating Tests: 10968
Points removed: 26, Discriminating Tests: 10952
Points removed: 27, Discriminating Tests: 11560
Points removed: 28, Discriminating Tests: 11911
Points removed: 29, Discriminating Tests: 11777
Points removed: 30, Discriminating Tests: 12120
Points removed: 31, Discriminating Tests: 12186
Points removed: 32, Discriminating Tests: 11628
Points removed: 33, Discriminating Tests: 12996
Points removed: 34, Discriminating Tests: 12741
Points removed: 35, Discriminating Tests: 12934
Points removed: 36, Discriminating Tests: 13617
Points removed: 37, Discriminating Tests: 13595
Points removed: 38, Discriminating Tests: 13776
Points removed: 39, Discriminating Tests: 13031
Points removed: 40, Discriminating Tests: 13437
Points removed: 41, Discriminating Tests: 13126
Points removed: 42, Discriminating Tests: 14035
Points removed: 43, Discriminating Tests: 14378
Points removed: 44, Discriminating Tests: 14900
Points removed: 45, Discriminating Tests: 14934
Points removed: 46, Discriminating Tests: 15183
Points removed: 47, Discriminating Tests: 14950
Points removed: 48, Discriminating Tests: 15015
Points removed: 49, Discriminating Tests: 14968
Points removed: 50, Discriminating Tests: 15943
Points removed: 51, Discriminating Tests: 17010
Points removed: 52, Discriminating Tests: 15363
Points removed: 53, Discriminating Tests: 16438
Points removed: 54, Discriminating Tests: 17094
Points removed: 55, Discriminating Tests: 16668
Points removed: 56, Discriminating Tests: 16495
Points removed: 57, Discriminating Tests: 17144
Points removed: 58, Discriminating Tests: 16981
Points removed: 59, Discriminating Tests: 16152
Points removed: 60, Discriminating Tests: 15735
Points removed: 61, Discriminating Tests: 16317
Points removed: 62, Discriminating Tests: 16188
Points removed: 63, Discriminating Tests: 15768
Points removed: 64, Discriminating Tests: 16340
Points removed: 65, Discriminating Tests: 16951
Points removed: 66, Discriminating Tests: 16946
Points removed: 67, Discriminating Tests: 16700
Points removed: 68, Discriminating Tests: 16701
Points removed: 69, Discriminating Tests: 17731
Points removed: 70, Discriminating Tests: 17530
Points removed: 71, Discriminating Tests: 17692
Points removed: 72, Discriminating Tests: 17445
Points removed: 73, Discriminating Tests: 18532
Points removed: 74, Discriminating Tests: 18760
Points removed: 75, Discriminating Tests: 18649
Points removed: 76, Discriminating Tests: 19355
Points removed: 77, Discriminating Tests: 18973
Points removed: 78, Discriminating Tests: 19689
Points removed: 79, Discriminating Tests: 19041
