Points removed: 0, Discriminating Tests: 14151
Points removed: 1, Discriminating Tests: 12158
Points removed: 2, Discriminating Tests: 12068
Points removed: 3, Discriminating Tests: 12631
Points removed: 4, Discriminating Tests: 11510
Points removed: 5, Discriminating Tests: 11846
Points removed: 6, Discriminating Tests: 11860
Points removed: 7, Discriminating Tests: 10821
Points removed: 8, Discriminating Tests: 10353
Points removed: 9, Discriminating Tests: 11105
Points removed: 10, Discriminating Tests: 9389
Points removed: 11, Discriminating Tests: 10215
Points removed: 12, Discriminating Tests: 8005
Points removed: 13, Discriminating Tests: 9689
Points removed: 14, Discriminating Tests: 9156
Points removed: 15, Discriminating Tests: 8164
Points removed: 16, Discriminating Tests: 9124
Points removed: 17, Discriminating Tests: 7070
Points removed: 18, Discriminating Tests: 8303
Points removed: 19, Discriminating Tests: 6839
Points removed: 20, Discriminating Tests: 8049
Points removed: 21, Discriminating Tests: 6404
Points removed: 22, Discriminating Tests: 5940
Points removed: 23, Discriminating Tests: 6054
Points removed: 24, Discriminating Tests: 6277
Points removed: 25, Discriminating Tests: 4864
Points removed: 26, Discriminating Tests: 4952
Points removed: 27, Discriminating Tests: 4483
Points removed: 28, Discriminating Tests: 4686
Points removed: 29, Discriminating Tests: 3219
Points removed: 30, Discriminating Tests: 3325
Points removed: 31, Discriminating Tests: 2259
Points removed: 32, Discriminating Tests: 2916
Points removed: 33, Discriminating Tests: 3131
Points removed: 34, Discriminating Tests: 2388
Points removed: 35, Discriminating Tests: 1881
Points removed: 36, Discriminating Tests: 2268
Points removed: 37, Discriminating Tests: 1952
Points removed: 38, Discriminating Tests: 648
Points removed: 39, Discriminating Tests: 2025
Points removed: 40, Discriminating Tests: 1705
Points removed: 41, Discriminating Tests: 1640
Points removed: 42, Discriminating Tests: 1290
Points removed: 43, Discriminating Tests: 1224
Points removed: 44, Discriminating Tests: 60
Points removed: 45, Discriminating Tests: 92
Points removed: 46, Discriminating Tests: 59
Points removed: 47, Discriminating Tests: 1977
Points removed: 48, Discriminating Tests: 825
Points removed: 49, Discriminating Tests: 1662
Points removed: 50, Discriminating Tests: 1357
Points removed: 51, Discriminating Tests: 2595
Points removed: 52, Discriminating Tests: 2122
Points removed: 53, Discriminating Tests: 1924
Points removed: 54, Discriminating Tests: 3372
Points removed: 55, Discriminating Tests: 3493
Points removed: 56, Discriminating Tests: 3646
Points removed: 57, Discriminating Tests: 3684
Points removed: 58, Discriminating Tests: 3559
Points removed: 59, Discriminating Tests: 3713
Points removed: 60, Discriminating Tests: 3816
Points removed: 61, Discriminating Tests: 5042
Points removed: 62, Discriminating Tests: 4628
Points removed: 63, Discriminating Tests: 3679
Points removed: 64, Discriminating Tests: 4789
Points removed: 65, Discriminating Tests: 4770
Points removed: 66, Discriminating Tests: 4488
Points removed: 67, Discriminating Tests: 4939
Points removed: 68, Discriminating Tests: 4913
Points removed: 69, Discriminating Tests: 5298
Points removed: 70, Discriminating Tests: 5575
Points removed: 71, Discriminating Tests: 6022
Points removed: 72, Discriminating Tests: 5838
Points removed: 73, Discriminating Tests: 5750
Points removed: 74, Discriminating Tests: 5603
Points removed: 75, Discriminating Tests: 6639
Points removed: 76, Discriminating Tests: 5955
Points removed: 77, Discriminating Tests: 6037
Points removed: 78, Discriminating Tests: 6566
Points removed: 79, Discriminating Tests: 6377
