Points removed: 0, Discriminating Tests: 8717
Points removed: 1, Discriminating Tests: 7170
Points removed: 2, Discriminating Tests: 7458
Points removed: 3, Discriminating Tests: 6295
Points removed: 4, Discriminating Tests: 6876
Points removed: 5, Discriminating Tests: 6899
Points removed: 6, Discriminating Tests: 5821
Points removed: 7, Discriminating Tests: 5600
Points removed: 8, Discriminating Tests: 5464
Points removed: 9, Discriminating Tests: 4859
Points removed: 10, Discriminating Tests: 4548
Points removed: 11, Discriminating Tests: 3724
Points removed: 12, Discriminating Tests: 4387
Points removed: 13, Discriminating Tests: 5348
Points removed: 14, Discriminating Tests: 3598
Points removed: 15, Discriminating Tests: 4327
Points removed: 16, Discriminating Tests: 3829
Points removed: 17, Discriminating Tests: 5011
Points removed: 18, Discriminating Tests: 5549
Points removed: 19, Discriminating Tests: 4570
Points removed: 20, Discriminating Tests: 5357
Points removed: 21, Discriminating Tests: 5641
Points removed: 22, Discriminating Tests: 5521
Points removed: 23, Discriminating Tests: 6279
Points removed: 24, Discriminating Tests: 6224
Points removed: 25, Discriminating Tests: 6112
Points removed: 26, Discriminating Tests: 6902
Points removed: 27, Discriminating Tests: 7447
Points removed: 28, Discriminating Tests: 7324
Points removed: 29, Discriminating Tests: 7632
Points removed: 30, Discriminating Tests: 8236
Points removed: 31, Discriminating Tests: 8443
Points removed: 32, Discriminating Tests: 8409
Points removed: 33, Discriminating Tests: 7315
Points removed: 34, Discriminating Tests: 7826
Points removed: 35, Discriminating Tests: 8701
Points removed: 36, Discriminating Tests: 7448
Points removed: 37, Discriminating Tests: 7882
Points removed: 38, Discriminating Tests: 7731
Points removed: 39, Discriminating Tests: 7673
Points removed: 40, Discriminating Tests: 8437
Points removed: 41, Discriminating Tests: 8404
Points removed: 42, Discriminating Tests: 8326
Points removed: 43, Discriminating Tests: 7839
Points removed: 44, Discriminating Tests: 8408
Points removed: 45, Discriminating Tests: 8168
Points removed: 46, Discriminating Tests: 8557
Points removed: 47, Discriminating Tests: 8525
Points removed: 48, Discriminating Tests: 8977
Points removed: 49, Discriminating Tests: 9385
Points removed: 50, Discriminating Tests: 10411
Points removed: 51, Discriminating Tests: 10069
Points removed: 52, Discriminating Tests: 10625
Points removed: 53, Discriminating Tests: 10777
Points removed: 54, Discriminating Tests: 12031
Points removed: 55, Discriminating Tests: 11257
Points removed: 56, Discriminating Tests: 10729
Points removed: 57, Discriminating Tests: 11323
Points removed: 58, Discriminating Tests: 11171
Points removed: 59, Discriminating Tests: 10445
Points removed: 60, Discriminating Tests: 10699
Points removed: 61, Discriminating Tests: 10931
Points removed: 62, Discriminating Tests: 10390
Points removed: 63, Discriminating Tests: 10505
Points removed: 64, Discriminating Tests: 10079
Points removed: 65, Discriminating Tests: 11434
Points removed: 66, Discriminating Tests: 11096
Points removed: 67, Discriminating Tests: 11033
Points removed: 68, Discriminating Tests: 11566
Points removed: 69, Discriminating Tests: 10443
Points removed: 70, Discriminating Tests: 10163
Points removed: 71, Discriminating Tests: 10691
Points removed: 72, Discriminating Tests: 11554
Points removed: 73, Discriminating Tests: 10637
Points removed: 74, Discriminating Tests: 10324
Points removed: 75, Discriminating Tests: 10521
Points removed: 76, Discriminating Tests: 11298
Points removed: 77, Discriminating Tests: 11223
Points removed: 78, Discriminating Tests: 10963
Points removed: 79, Discriminating Tests: 10114
Points removed: 8, Discriminating Tests: 5464
Points removed: 48, Discriminating Tests: 8977
Points removed: 88, Discriminating Tests: 8479
Points removed: 128, Discriminating Tests: 8905
Points removed: 168, Discriminating Tests: 8140
Points removed: 208, Discriminating Tests: 6889
Points removed: 248, Discriminating Tests: 6172
Points removed: 288, Discriminating Tests: 8276
Points removed: 328, Discriminating Tests: 7951
Points removed: 368, Discriminating Tests: 7479
