Points removed: 0, Discriminating Tests: 11771
Points removed: 1, Discriminating Tests: 11048
Points removed: 2, Discriminating Tests: 9629
Points removed: 3, Discriminating Tests: 9853
Points removed: 4, Discriminating Tests: 10749
Points removed: 5, Discriminating Tests: 8718
Points removed: 6, Discriminating Tests: 9791
Points removed: 7, Discriminating Tests: 9008
Points removed: 8, Discriminating Tests: 8937
Points removed: 9, Discriminating Tests: 9145
Points removed: 10, Discriminating Tests: 8604
Points removed: 11, Discriminating Tests: 7551
Points removed: 12, Discriminating Tests: 7506
Points removed: 13, Discriminating Tests: 8416
Points removed: 14, Discriminating Tests: 9892
Points removed: 15, Discriminating Tests: 7975
Points removed: 16, Discriminating Tests: 7826
Points removed: 17, Discriminating Tests: 6755
Points removed: 18, Discriminating Tests: 6714
Points removed: 19, Discriminating Tests: 6520
Points removed: 20, Discriminating Tests: 6724
Points removed: 21, Discriminating Tests: 6914
Points removed: 22, Discriminating Tests: 5797
Points removed: 23, Discriminating Tests: 6356
Points removed: 24, Discriminating Tests: 5281
Points removed: 25, Discriminating Tests: 6385
Points removed: 26, Discriminating Tests: 4743
Points removed: 27, Discriminating Tests: 4682
Points removed: 28, Discriminating Tests: 4610
Points removed: 29, Discriminating Tests: 3824
Points removed: 30, Discriminating Tests: 4620
Points removed: 31, Discriminating Tests: 3501
Points removed: 32, Discriminating Tests: 3608
Points removed: 33, Discriminating Tests: 3059
Points removed: 34, Discriminating Tests: 3203
Points removed: 35, Discriminating Tests: 3084
Points removed: 36, Discriminating Tests: 3111
Points removed: 37, Discriminating Tests: 3270
Points removed: 38, Discriminating Tests: 3228
Points removed: 39, Discriminating Tests: 2741
