Points removed: 0, Discriminating Tests: 8729
Points removed: 1, Discriminating Tests: 8107
Points removed: 2, Discriminating Tests: 7976
Points removed: 3, Discriminating Tests: 6698
Points removed: 4, Discriminating Tests: 6621
Points removed: 5, Discriminating Tests: 5383
Points removed: 6, Discriminating Tests: 6326
Points removed: 7, Discriminating Tests: 4906
Points removed: 8, Discriminating Tests: 5364
Points removed: 9, Discriminating Tests: 4486
Points removed: 10, Discriminating Tests: 5853
Points removed: 11, Discriminating Tests: 5299
Points removed: 12, Discriminating Tests: 4767
Points removed: 13, Discriminating Tests: 3969
Points removed: 14, Discriminating Tests: 4486
Points removed: 15, Discriminating Tests: 3737
Points removed: 16, Discriminating Tests: 3939
Points removed: 17, Discriminating Tests: 4243
Points removed: 18, Discriminating Tests: 3376
Points removed: 19, Discriminating Tests: 3312
Points removed: 20, Discriminating Tests: 2982
Points removed: 21, Discriminating Tests: 3144
Points removed: 22, Discriminating Tests: 4082
Points removed: 23, Discriminating Tests: 3064
Points removed: 24, Discriminating Tests: 3437
Points removed: 25, Discriminating Tests: 2364
Points removed: 26, Discriminating Tests: 3200
Points removed: 27, Discriminating Tests: 2513
Points removed: 28, Discriminating Tests: 2770
Points removed: 29, Discriminating Tests: 2905
Points removed: 30, Discriminating Tests: 2705
Points removed: 31, Discriminating Tests: 2652
Points removed: 32, Discriminating Tests: 3314
Points removed: 33, Discriminating Tests: 2587
Points removed: 34, Discriminating Tests: 2901
Points removed: 35, Discriminating Tests: 3796
Points removed: 36, Discriminating Tests: 2559
Points removed: 37, Discriminating Tests: 2648
Points removed: 38, Discriminating Tests: 2112
Points removed: 39, Discriminating Tests: 3051
