Points removed: 0, Discriminating Tests: 10740
Points removed: 1, Discriminating Tests: 9699
Points removed: 2, Discriminating Tests: 8363
Points removed: 3, Discriminating Tests: 8398
Points removed: 4, Discriminating Tests: 6342
Points removed: 5, Discriminating Tests: 5443
Points removed: 6, Discriminating Tests: 6427
Points removed: 7, Discriminating Tests: 5270
Points removed: 8, Discriminating Tests: 4087
Points removed: 9, Discriminating Tests: 2962
Points removed: 10, Discriminating Tests: 2117
Points removed: 11, Discriminating Tests: 2284
Points removed: 12, Discriminating Tests: 788
Points removed: 13, Discriminating Tests: 846
Points removed: 14, Discriminating Tests: 11
Points removed: 15, Discriminating Tests: 385
Points removed: 16, Discriminating Tests: 460
Points removed: 17, Discriminating Tests: 2119
Points removed: 18, Discriminating Tests: 1125
Points removed: 19, Discriminating Tests: 2863
Points removed: 20, Discriminating Tests: 2803
Points removed: 21, Discriminating Tests: 3976
Points removed: 22, Discriminating Tests: 3788
Points removed: 23, Discriminating Tests: 4611
Points removed: 24, Discriminating Tests: 5376
Points removed: 25, Discriminating Tests: 4957
Points removed: 26, Discriminating Tests: 5842
Points removed: 27, Discriminating Tests: 6377
Points removed: 28, Discriminating Tests: 6210
Points removed: 29, Discriminating Tests: 7113
Points removed: 30, Discriminating Tests: 8406
Points removed: 31, Discriminating Tests: 9222
Points removed: 32, Discriminating Tests: 9123
Points removed: 33, Discriminating Tests: 9454
Points removed: 34, Discriminating Tests: 9706
Points removed: 35, Discriminating Tests: 11548
Points removed: 36, Discriminating Tests: 10740
Points removed: 37, Discriminating Tests: 11492
Points removed: 38, Discriminating Tests: 12487
Points removed: 39, Discriminating Tests: 12493
