Points removed: 0, Discriminating Tests: 9974
Points removed: 1, Discriminating Tests: 8638
Points removed: 2, Discriminating Tests: 8057
Points removed: 3, Discriminating Tests: 7706
Points removed: 4, Discriminating Tests: 6103
Points removed: 5, Discriminating Tests: 5578
Points removed: 6, Discriminating Tests: 5942
Points removed: 7, Discriminating Tests: 5153
Points removed: 8, Discriminating Tests: 3612
Points removed: 9, Discriminating Tests: 3076
Points removed: 10, Discriminating Tests: 2257
Points removed: 11, Discriminating Tests: 2626
Points removed: 12, Discriminating Tests: 1257
Points removed: 13, Discriminating Tests: 1007
Points removed: 14, Discriminating Tests: 222
Points removed: 15, Discriminating Tests: 110
Points removed: 16, Discriminating Tests: 220
Points removed: 17, Discriminating Tests: 1517
Points removed: 18, Discriminating Tests: 1019
Points removed: 19, Discriminating Tests: 2368
Points removed: 20, Discriminating Tests: 2292
Points removed: 21, Discriminating Tests: 3657
Points removed: 22, Discriminating Tests: 3623
Points removed: 23, Discriminating Tests: 3878
Points removed: 24, Discriminating Tests: 4744
Points removed: 25, Discriminating Tests: 4437
Points removed: 26, Discriminating Tests: 5345
Points removed: 27, Discriminating Tests: 6074
Points removed: 28, Discriminating Tests: 5497
Points removed: 29, Discriminating Tests: 6985
Points removed: 30, Discriminating Tests: 7771
Points removed: 31, Discriminating Tests: 8443
Points removed: 32, Discriminating Tests: 8275
Points removed: 33, Discriminating Tests: 9091
Points removed: 34, Discriminating Tests: 9548
Points removed: 35, Discriminating Tests: 10615
Points removed: 36, Discriminating Tests: 9611
Points removed: 37, Discriminating Tests: 10719
Points removed: 38, Discriminating Tests: 11608
Points removed: 39, Discriminating Tests: 10726
