Points removed: 0, Discriminating Tests: 8172
Points removed: 1, Discriminating Tests: 7296
Points removed: 2, Discriminating Tests: 6330
Points removed: 3, Discriminating Tests: 5838
Points removed: 4, Discriminating Tests: 4351
Points removed: 5, Discriminating Tests: 3381
Points removed: 6, Discriminating Tests: 4230
Points removed: 7, Discriminating Tests: 3024
Points removed: 8, Discriminating Tests: 1538
Points removed: 9, Discriminating Tests: 385
Points removed: 10, Discriminating Tests: 549
Points removed: 11, Discriminating Tests: 245
Points removed: 12, Discriminating Tests: 918
Points removed: 13, Discriminating Tests: 1506
Points removed: 14, Discriminating Tests: 2433
Points removed: 15, Discriminating Tests: 2577
Points removed: 16, Discriminating Tests: 2859
Points removed: 17, Discriminating Tests: 4448
Points removed: 18, Discriminating Tests: 3380
Points removed: 19, Discriminating Tests: 5252
Points removed: 20, Discriminating Tests: 4916
Points removed: 21, Discriminating Tests: 6525
Points removed: 22, Discriminating Tests: 6338
Points removed: 23, Discriminating Tests: 6894
Points removed: 24, Discriminating Tests: 8013
Points removed: 25, Discriminating Tests: 7262
Points removed: 26, Discriminating Tests: 8387
Points removed: 27, Discriminating Tests: 9000
Points removed: 28, Discriminating Tests: 8333
Points removed: 29, Discriminating Tests: 9249
Points removed: 30, Discriminating Tests: 10745
Points removed: 31, Discriminating Tests: 11707
Points removed: 32, Discriminating Tests: 10849
Points removed: 33, Discriminating Tests: 12057
Points removed: 34, Discriminating Tests: 12507
Points removed: 35, Discriminating Tests: 13385
Points removed: 36, Discriminating Tests: 13094
Points removed: 37, Discriminating Tests: 14292
Points removed: 38, Discriminating Tests: 14621
Points removed: 39, Discriminating Tests: 14726
