Points removed: 0, Discriminating Tests: 10723
Points removed: 1, Discriminating Tests: 10826
Points removed: 2, Discriminating Tests: 10395
Points removed: 3, Discriminating Tests: 11083
Points removed: 4, Discriminating Tests: 10080
Points removed: 5, Discriminating Tests: 10103
Points removed: 6, Discriminating Tests: 10305
Points removed: 7, Discriminating Tests: 10546
Points removed: 8, Discriminating Tests: 10127
Points removed: 9, Discriminating Tests: 10014
Points removed: 10, Discriminating Tests: 10383
Points removed: 11, Discriminating Tests: 11466
Points removed: 12, Discriminating Tests: 10991
Points removed: 13, Discriminating Tests: 10567
Points removed: 14, Discriminating Tests: 11279
Points removed: 15, Discriminating Tests: 11072
Points removed: 16, Discriminating Tests: 12237
Points removed: 17, Discriminating Tests: 12537
Points removed: 18, Discriminating Tests: 12695
Points removed: 19, Discriminating Tests: 12749
Points removed: 20, Discriminating Tests: 13036
Points removed: 21, Discriminating Tests: 13046
Points removed: 22, Discriminating Tests: 13591
Points removed: 23, Discriminating Tests: 13288
Points removed: 24, Discriminating Tests: 13876
Points removed: 25, Discriminating Tests: 13136
Points removed: 26, Discriminating Tests: 13295
Points removed: 27, Discriminating Tests: 14138
Points removed: 28, Discriminating Tests: 14062
Points removed: 29, Discriminating Tests: 13735
Points removed: 30, Discriminating Tests: 14539
Points removed: 31, Discriminating Tests: 14576
Points removed: 32, Discriminating Tests: 15005
Points removed: 33, Discriminating Tests: 15249
Points removed: 34, Discriminating Tests: 14892
Points removed: 35, Discriminating Tests: 15113
Points removed: 36, Discriminating Tests: 15919
Points removed: 37, Discriminating Tests: 15935
Points removed: 38, Discriminating Tests: 16405
Points removed: 39, Discriminating Tests: 16608
