Points removed: 0, Discriminating Tests: 8053
Points removed: 1, Discriminating Tests: 8074
Points removed: 2, Discriminating Tests: 7510
Points removed: 3, Discriminating Tests: 7822
Points removed: 4, Discriminating Tests: 7877
Points removed: 5, Discriminating Tests: 7965
Points removed: 6, Discriminating Tests: 8203
Points removed: 7, Discriminating Tests: 8860
Points removed: 8, Discriminating Tests: 9002
Points removed: 9, Discriminating Tests: 9138
Points removed: 10, Discriminating Tests: 10113
Points removed: 11, Discriminating Tests: 8661
Points removed: 12, Discriminating Tests: 9254
Points removed: 13, Discriminating Tests: 9697
Points removed: 14, Discriminating Tests: 9104
Points removed: 15, Discriminating Tests: 9015
Points removed: 16, Discriminating Tests: 9225
Points removed: 17, Discriminating Tests: 10438
Points removed: 18, Discriminating Tests: 10008
Points removed: 19, Discriminating Tests: 10087
Points removed: 20, Discriminating Tests: 9491
Points removed: 21, Discriminating Tests: 10677
Points removed: 22, Discriminating Tests: 10349
Points removed: 23, Discriminating Tests: 9890
Points removed: 24, Discriminating Tests: 10938
Points removed: 25, Discriminating Tests: 10713
Points removed: 26, Discriminating Tests: 11025
Points removed: 27, Discriminating Tests: 10969
Points removed: 28, Discriminating Tests: 10620
Points removed: 29, Discriminating Tests: 12051
Points removed: 30, Discriminating Tests: 12139
Points removed: 31, Discriminating Tests: 11772
Points removed: 32, Discriminating Tests: 11461
Points removed: 33, Discriminating Tests: 12077
Points removed: 34, Discriminating Tests: 11670
Points removed: 35, Discriminating Tests: 13260
Points removed: 36, Discriminating Tests: 13027
Points removed: 37, Discriminating Tests: 13833
Points removed: 38, Discriminating Tests: 13091
Points removed: 39, Discriminating Tests: 13283
