Points removed: 0, Discriminating Tests: 10394
Points removed: 1, Discriminating Tests: 8821
Points removed: 2, Discriminating Tests: 8118
Points removed: 3, Discriminating Tests: 7882
Points removed: 4, Discriminating Tests: 6075
Points removed: 5, Discriminating Tests: 5630
Points removed: 6, Discriminating Tests: 5517
Points removed: 7, Discriminating Tests: 4829
Points removed: 8, Discriminating Tests: 3883
Points removed: 9, Discriminating Tests: 3127
Points removed: 10, Discriminating Tests: 2474
Points removed: 11, Discriminating Tests: 2665
Points removed: 12, Discriminating Tests: 1521
Points removed: 13, Discriminating Tests: 1198
Points removed: 14, Discriminating Tests: 337
Points removed: 15, Discriminating Tests: 300
Points removed: 16, Discriminating Tests: 153
Points removed: 17, Discriminating Tests: 1140
Points removed: 18, Discriminating Tests: 1186
Points removed: 19, Discriminating Tests: 2489
Points removed: 20, Discriminating Tests: 1961
Points removed: 21, Discriminating Tests: 4029
Points removed: 22, Discriminating Tests: 3616
Points removed: 23, Discriminating Tests: 3650
Points removed: 24, Discriminating Tests: 4788
Points removed: 25, Discriminating Tests: 4605
Points removed: 26, Discriminating Tests: 5477
Points removed: 27, Discriminating Tests: 6282
Points removed: 28, Discriminating Tests: 5405
Points removed: 29, Discriminating Tests: 6892
Points removed: 30, Discriminating Tests: 8425
Points removed: 31, Discriminating Tests: 9025
Points removed: 32, Discriminating Tests: 8387
Points removed: 33, Discriminating Tests: 9362
Points removed: 34, Discriminating Tests: 9756
Points removed: 35, Discriminating Tests: 10490
Points removed: 36, Discriminating Tests: 10149
Points removed: 37, Discriminating Tests: 10513
Points removed: 38, Discriminating Tests: 11647
Points removed: 39, Discriminating Tests: 10849
