Points removed: 0, Discriminating Tests: 8294
Points removed: 1, Discriminating Tests: 7213
Points removed: 2, Discriminating Tests: 6518
Points removed: 3, Discriminating Tests: 6012
Points removed: 4, Discriminating Tests: 4326
Points removed: 5, Discriminating Tests: 3647
Points removed: 6, Discriminating Tests: 4249
Points removed: 7, Discriminating Tests: 3285
Points removed: 8, Discriminating Tests: 1840
Points removed: 9, Discriminating Tests: 694
Points removed: 10, Discriminating Tests: 387
Points removed: 11, Discriminating Tests: 1034
Points removed: 12, Discriminating Tests: 551
Points removed: 13, Discriminating Tests: 1036
Points removed: 14, Discriminating Tests: 1785
Points removed: 15, Discriminating Tests: 1760
Points removed: 16, Discriminating Tests: 1891
Points removed: 17, Discriminating Tests: 4401
Points removed: 18, Discriminating Tests: 3581
Points removed: 19, Discriminating Tests: 4395
Points removed: 20, Discriminating Tests: 4743
Points removed: 21, Discriminating Tests: 6195
Points removed: 22, Discriminating Tests: 5734
Points removed: 23, Discriminating Tests: 6219
Points removed: 24, Discriminating Tests: 7144
Points removed: 25, Discriminating Tests: 7307
Points removed: 26, Discriminating Tests: 8132
Points removed: 27, Discriminating Tests: 8852
Points removed: 28, Discriminating Tests: 8450
Points removed: 29, Discriminating Tests: 9336
Points removed: 30, Discriminating Tests: 10484
Points removed: 31, Discriminating Tests: 11379
Points removed: 32, Discriminating Tests: 11329
Points removed: 33, Discriminating Tests: 11419
Points removed: 34, Discriminating Tests: 11735
Points removed: 35, Discriminating Tests: 13701
Points removed: 36, Discriminating Tests: 12712
Points removed: 37, Discriminating Tests: 13691
Points removed: 38, Discriminating Tests: 14599
Points removed: 39, Discriminating Tests: 13925
