Points removed: 0, Discriminating Tests: 9579
Points removed: 1, Discriminating Tests: 8831
Points removed: 2, Discriminating Tests: 8114
Points removed: 3, Discriminating Tests: 7405
Points removed: 4, Discriminating Tests: 6393
Points removed: 5, Discriminating Tests: 5914
Points removed: 6, Discriminating Tests: 5024
Points removed: 7, Discriminating Tests: 4692
Points removed: 8, Discriminating Tests: 4375
Points removed: 9, Discriminating Tests: 3148
Points removed: 10, Discriminating Tests: 3334
Points removed: 11, Discriminating Tests: 1416
Points removed: 12, Discriminating Tests: 2016
Points removed: 13, Discriminating Tests: 953
Points removed: 14, Discriminating Tests: 1771
Points removed: 15, Discriminating Tests: 602
Points removed: 16, Discriminating Tests: 712
Points removed: 17, Discriminating Tests: 1139
Points removed: 18, Discriminating Tests: 1273
Points removed: 19, Discriminating Tests: 1893
Points removed: 20, Discriminating Tests: 2555
Points removed: 21, Discriminating Tests: 3076
Points removed: 22, Discriminating Tests: 4061
Points removed: 23, Discriminating Tests: 3520
Points removed: 24, Discriminating Tests: 4974
Points removed: 25, Discriminating Tests: 4795
Points removed: 26, Discriminating Tests: 5323
Points removed: 27, Discriminating Tests: 6559
Points removed: 28, Discriminating Tests: 6052
Points removed: 29, Discriminating Tests: 6740
Points removed: 30, Discriminating Tests: 6750
Points removed: 31, Discriminating Tests: 7444
Points removed: 32, Discriminating Tests: 8137
Points removed: 33, Discriminating Tests: 9045
Points removed: 34, Discriminating Tests: 8947
Points removed: 35, Discriminating Tests: 9041
Points removed: 36, Discriminating Tests: 10013
Points removed: 37, Discriminating Tests: 10659
Points removed: 38, Discriminating Tests: 11938
Points removed: 39, Discriminating Tests: 11258
Points removed: 40, Discriminating Tests: 11557
Points removed: 41, Discriminating Tests: 12813
Points removed: 42, Discriminating Tests: 12695
Points removed: 43, Discriminating Tests: 13090
Points removed: 44, Discriminating Tests: 13570
Points removed: 45, Discriminating Tests: 14451
Points removed: 46, Discriminating Tests: 14709
Points removed: 47, Discriminating Tests: 15895
Points removed: 48, Discriminating Tests: 15838
Points removed: 49, Discriminating Tests: 16281
Points removed: 50, Discriminating Tests: 16227
Points removed: 51, Discriminating Tests: 16894
Points removed: 52, Discriminating Tests: 17619
Points removed: 53, Discriminating Tests: 16778
Points removed: 54, Discriminating Tests: 17671
Points removed: 55, Discriminating Tests: 18018
Points removed: 56, Discriminating Tests: 18113
Points removed: 57, Discriminating Tests: 20121
Points removed: 58, Discriminating Tests: 20269
Points removed: 59, Discriminating Tests: 19942
Points removed: 60, Discriminating Tests: 20057
Points removed: 61, Discriminating Tests: 19767
Points removed: 62, Discriminating Tests: 19945
Points removed: 63, Discriminating Tests: 21194
Points removed: 64, Discriminating Tests: 20989
Points removed: 65, Discriminating Tests: 20666
Points removed: 66, Discriminating Tests: 21061
Points removed: 67, Discriminating Tests: 21191
Points removed: 68, Discriminating Tests: 21666
Points removed: 69, Discriminating Tests: 21832
Points removed: 70, Discriminating Tests: 22643
Points removed: 71, Discriminating Tests: 22231
Points removed: 72, Discriminating Tests: 22440
Points removed: 73, Discriminating Tests: 23150
Points removed: 74, Discriminating Tests: 23917
Points removed: 75, Discriminating Tests: 23840
Points removed: 76, Discriminating Tests: 24304
Points removed: 77, Discriminating Tests: 24547
Points removed: 78, Discriminating Tests: 25874
Points removed: 79, Discriminating Tests: 26537
Points removed: 80, Discriminating Tests: 25706
Points removed: 81, Discriminating Tests: 27602
Points removed: 82, Discriminating Tests: 26784
Points removed: 83, Discriminating Tests: 28058
Points removed: 84, Discriminating Tests: 27525
Points removed: 85, Discriminating Tests: 28048
Points removed: 86, Discriminating Tests: 28740
Points removed: 87, Discriminating Tests: 30092
Points removed: 88, Discriminating Tests: 30065
Points removed: 89, Discriminating Tests: 29071
Points removed: 90, Discriminating Tests: 30443
Points removed: 91, Discriminating Tests: 30091
Points removed: 92, Discriminating Tests: 30778
Points removed: 93, Discriminating Tests: 31004
Points removed: 94, Discriminating Tests: 30830
Points removed: 95, Discriminating Tests: 31569
Points removed: 96, Discriminating Tests: 32303
Points removed: 97, Discriminating Tests: 32184
Points removed: 98, Discriminating Tests: 33979
Points removed: 99, Discriminating Tests: 33300
Points removed: 100, Discriminating Tests: 34220
Points removed: 101, Discriminating Tests: 35133
Points removed: 102, Discriminating Tests: 35617
Points removed: 103, Discriminating Tests: 36253
Points removed: 104, Discriminating Tests: 35912
Points removed: 105, Discriminating Tests: 36600
Points removed: 106, Discriminating Tests: 37227
Points removed: 107, Discriminating Tests: 37007
Points removed: 108, Discriminating Tests: 36964
Points removed: 109, Discriminating Tests: 37033
Points removed: 110, Discriminating Tests: 37256
Points removed: 111, Discriminating Tests: 37661
Points removed: 112, Discriminating Tests: 37677
Points removed: 113, Discriminating Tests: 37607
Points removed: 114, Discriminating Tests: 38170
Points removed: 115, Discriminating Tests: 38544
Points removed: 116, Discriminating Tests: 38675
Points removed: 117, Discriminating Tests: 39120
Points removed: 118, Discriminating Tests: 38059
Points removed: 119, Discriminating Tests: 38757
