Points removed: 0, Discriminating Tests: 9725
Points removed: 1, Discriminating Tests: 9740
Points removed: 2, Discriminating Tests: 9569
Points removed: 3, Discriminating Tests: 8989
Points removed: 4, Discriminating Tests: 10999
Points removed: 5, Discriminating Tests: 10486
Points removed: 6, Discriminating Tests: 9907
Points removed: 7, Discriminating Tests: 10015
Points removed: 8, Discriminating Tests: 9948
Points removed: 9, Discriminating Tests: 10811
Points removed: 10, Discriminating Tests: 11532
Points removed: 11, Discriminating Tests: 9793
Points removed: 12, Discriminating Tests: 9418
Points removed: 13, Discriminating Tests: 9947
Points removed: 14, Discriminating Tests: 10662
Points removed: 15, Discriminating Tests: 10066
Points removed: 16, Discriminating Tests: 9338
Points removed: 17, Discriminating Tests: 10936
Points removed: 18, Discriminating Tests: 10355
Points removed: 19, Discriminating Tests: 11677
Points removed: 20, Discriminating Tests: 11036
Points removed: 21, Discriminating Tests: 11651
Points removed: 22, Discriminating Tests: 12025
Points removed: 23, Discriminating Tests: 11756
Points removed: 24, Discriminating Tests: 12558
Points removed: 25, Discriminating Tests: 12012
Points removed: 26, Discriminating Tests: 12639
Points removed: 27, Discriminating Tests: 12353
Points removed: 28, Discriminating Tests: 12974
Points removed: 29, Discriminating Tests: 13781
Points removed: 30, Discriminating Tests: 13480
Points removed: 31, Discriminating Tests: 13149
Points removed: 32, Discriminating Tests: 13260
Points removed: 33, Discriminating Tests: 12912
Points removed: 34, Discriminating Tests: 14043
Points removed: 35, Discriminating Tests: 14500
Points removed: 36, Discriminating Tests: 14807
Points removed: 37, Discriminating Tests: 15380
Points removed: 38, Discriminating Tests: 14626
Points removed: 39, Discriminating Tests: 15028
