Points removed: 0, Discriminating Tests: 9733
Points removed: 1, Discriminating Tests: 9988
Points removed: 2, Discriminating Tests: 8636
Points removed: 3, Discriminating Tests: 7978
Points removed: 4, Discriminating Tests: 9174
Points removed: 5, Discriminating Tests: 9273
Points removed: 6, Discriminating Tests: 9466
Points removed: 7, Discriminating Tests: 9447
Points removed: 8, Discriminating Tests: 8698
Points removed: 9, Discriminating Tests: 7636
Points removed: 10, Discriminating Tests: 8269
Points removed: 11, Discriminating Tests: 9082
Points removed: 12, Discriminating Tests: 8601
Points removed: 13, Discriminating Tests: 8212
Points removed: 14, Discriminating Tests: 8504
Points removed: 15, Discriminating Tests: 7251
Points removed: 16, Discriminating Tests: 8503
Points removed: 17, Discriminating Tests: 9694
Points removed: 18, Discriminating Tests: 8878
Points removed: 19, Discriminating Tests: 7382
Points removed: 20, Discriminating Tests: 7665
Points removed: 21, Discriminating Tests: 8255
Points removed: 22, Discriminating Tests: 9244
Points removed: 23, Discriminating Tests: 8809
Points removed: 24, Discriminating Tests: 8962
Points removed: 25, Discriminating Tests: 8475
Points removed: 26, Discriminating Tests: 6587
Points removed: 27, Discriminating Tests: 7652
Points removed: 28, Discriminating Tests: 6742
Points removed: 29, Discriminating Tests: 7909
Points removed: 30, Discriminating Tests: 8495
Points removed: 31, Discriminating Tests: 8386
Points removed: 32, Discriminating Tests: 7880
Points removed: 33, Discriminating Tests: 8566
Points removed: 34, Discriminating Tests: 8018
Points removed: 35, Discriminating Tests: 8083
Points removed: 36, Discriminating Tests: 7643
Points removed: 37, Discriminating Tests: 7290
Points removed: 38, Discriminating Tests: 7822
Points removed: 39, Discriminating Tests: 7628
