Points removed: 0, Discriminating Tests: 7944
Points removed: 1, Discriminating Tests: 8567
Points removed: 2, Discriminating Tests: 8339
Points removed: 3, Discriminating Tests: 7977
Points removed: 4, Discriminating Tests: 8367
Points removed: 5, Discriminating Tests: 7733
Points removed: 6, Discriminating Tests: 9203
Points removed: 7, Discriminating Tests: 9672
Points removed: 8, Discriminating Tests: 9246
Points removed: 9, Discriminating Tests: 9604
Points removed: 10, Discriminating Tests: 9415
Points removed: 11, Discriminating Tests: 8895
Points removed: 12, Discriminating Tests: 9336
Points removed: 13, Discriminating Tests: 9348
Points removed: 14, Discriminating Tests: 9406
Points removed: 15, Discriminating Tests: 9227
Points removed: 16, Discriminating Tests: 9485
Points removed: 17, Discriminating Tests: 10534
Points removed: 18, Discriminating Tests: 9360
Points removed: 19, Discriminating Tests: 10839
Points removed: 20, Discriminating Tests: 10421
Points removed: 21, Discriminating Tests: 10877
Points removed: 22, Discriminating Tests: 11215
Points removed: 23, Discriminating Tests: 10540
Points removed: 24, Discriminating Tests: 10516
Points removed: 25, Discriminating Tests: 11198
Points removed: 26, Discriminating Tests: 11081
Points removed: 27, Discriminating Tests: 11575
Points removed: 28, Discriminating Tests: 10812
Points removed: 29, Discriminating Tests: 11695
Points removed: 30, Discriminating Tests: 11915
Points removed: 31, Discriminating Tests: 12186
Points removed: 32, Discriminating Tests: 12317
Points removed: 33, Discriminating Tests: 12939
Points removed: 34, Discriminating Tests: 12019
Points removed: 35, Discriminating Tests: 12422
Points removed: 36, Discriminating Tests: 12371
Points removed: 37, Discriminating Tests: 12903
Points removed: 38, Discriminating Tests: 13023
Points removed: 39, Discriminating Tests: 13711
Points removed: 40, Discriminating Tests: 12909
Points removed: 41, Discriminating Tests: 13809
Points removed: 42, Discriminating Tests: 14013
Points removed: 43, Discriminating Tests: 14259
Points removed: 44, Discriminating Tests: 14736
Points removed: 45, Discriminating Tests: 14758
Points removed: 46, Discriminating Tests: 14272
Points removed: 47, Discriminating Tests: 15500
Points removed: 48, Discriminating Tests: 15189
Points removed: 49, Discriminating Tests: 15318
Points removed: 50, Discriminating Tests: 15114
Points removed: 51, Discriminating Tests: 15639
Points removed: 52, Discriminating Tests: 15652
Points removed: 53, Discriminating Tests: 14404
Points removed: 54, Discriminating Tests: 14763
Points removed: 55, Discriminating Tests: 15123
Points removed: 56, Discriminating Tests: 15133
Points removed: 57, Discriminating Tests: 15959
Points removed: 58, Discriminating Tests: 15588
Points removed: 59, Discriminating Tests: 16202
Points removed: 60, Discriminating Tests: 15735
Points removed: 61, Discriminating Tests: 17236
Points removed: 62, Discriminating Tests: 16455
Points removed: 63, Discriminating Tests: 16653
Points removed: 64, Discriminating Tests: 16229
Points removed: 65, Discriminating Tests: 17401
Points removed: 66, Discriminating Tests: 17771
Points removed: 67, Discriminating Tests: 17081
Points removed: 68, Discriminating Tests: 18030
Points removed: 69, Discriminating Tests: 17877
Points removed: 70, Discriminating Tests: 17865
Points removed: 71, Discriminating Tests: 17864
Points removed: 72, Discriminating Tests: 17896
Points removed: 73, Discriminating Tests: 17275
Points removed: 74, Discriminating Tests: 18011
Points removed: 75, Discriminating Tests: 17665
Points removed: 76, Discriminating Tests: 18098
Points removed: 77, Discriminating Tests: 17570
Points removed: 78, Discriminating Tests: 18404
Points removed: 79, Discriminating Tests: 19007
