Points removed: 0, Discriminating Tests: 7918
Points removed: 1, Discriminating Tests: 7036
Points removed: 2, Discriminating Tests: 6881
Points removed: 3, Discriminating Tests: 5290
Points removed: 4, Discriminating Tests: 5228
Points removed: 5, Discriminating Tests: 4539
Points removed: 6, Discriminating Tests: 2990
Points removed: 7, Discriminating Tests: 2894
Points removed: 8, Discriminating Tests: 2302
Points removed: 9, Discriminating Tests: 632
Points removed: 10, Discriminating Tests: 1237
Points removed: 11, Discriminating Tests: 1089
Points removed: 12, Discriminating Tests: 792
Points removed: 13, Discriminating Tests: 2059
Points removed: 14, Discriminating Tests: 981
Points removed: 15, Discriminating Tests: 2225
Points removed: 16, Discriminating Tests: 3881
Points removed: 17, Discriminating Tests: 4484
Points removed: 18, Discriminating Tests: 4824
Points removed: 19, Discriminating Tests: 5646
Points removed: 20, Discriminating Tests: 6583
Points removed: 21, Discriminating Tests: 7278
Points removed: 22, Discriminating Tests: 8409
Points removed: 23, Discriminating Tests: 7694
Points removed: 24, Discriminating Tests: 9442
Points removed: 25, Discriminating Tests: 9163
Points removed: 26, Discriminating Tests: 9378
Points removed: 27, Discriminating Tests: 10825
Points removed: 28, Discriminating Tests: 10448
Points removed: 29, Discriminating Tests: 11234
Points removed: 30, Discriminating Tests: 11550
Points removed: 31, Discriminating Tests: 12706
Points removed: 32, Discriminating Tests: 13390
Points removed: 33, Discriminating Tests: 14936
Points removed: 34, Discriminating Tests: 14266
Points removed: 35, Discriminating Tests: 15052
Points removed: 36, Discriminating Tests: 16077
Points removed: 37, Discriminating Tests: 17229
Points removed: 38, Discriminating Tests: 18086
Points removed: 39, Discriminating Tests: 18463
