Points removed: 0, Discriminating Tests: 15293
Points removed: 1, Discriminating Tests: 14956
Points removed: 2, Discriminating Tests: 13553
Points removed: 3, Discriminating Tests: 13116
Points removed: 4, Discriminating Tests: 12629
Points removed: 5, Discriminating Tests: 11415
Points removed: 6, Discriminating Tests: 10397
Points removed: 7, Discriminating Tests: 10148
Points removed: 8, Discriminating Tests: 10095
Points removed: 9, Discriminating Tests: 8239
Points removed: 10, Discriminating Tests: 8452
Points removed: 11, Discriminating Tests: 6240
Points removed: 12, Discriminating Tests: 6953
Points removed: 13, Discriminating Tests: 5471
Points removed: 14, Discriminating Tests: 6101
Points removed: 15, Discriminating Tests: 5224
Points removed: 16, Discriminating Tests: 3684
Points removed: 17, Discriminating Tests: 3946
Points removed: 18, Discriminating Tests: 3342
Points removed: 19, Discriminating Tests: 2551
Points removed: 20, Discriminating Tests: 1733
Points removed: 21, Discriminating Tests: 1293
Points removed: 22, Discriminating Tests: 861
Points removed: 23, Discriminating Tests: 677
Points removed: 24, Discriminating Tests: 772
Points removed: 25, Discriminating Tests: 1001
Points removed: 26, Discriminating Tests: 1245
Points removed: 27, Discriminating Tests: 2929
Points removed: 28, Discriminating Tests: 2849
Points removed: 29, Discriminating Tests: 3081
Points removed: 30, Discriminating Tests: 3538
Points removed: 31, Discriminating Tests: 4108
Points removed: 32, Discriminating Tests: 4912
Points removed: 33, Discriminating Tests: 5596
Points removed: 34, Discriminating Tests: 5564
Points removed: 35, Discriminating Tests: 5676
Points removed: 36, Discriminating Tests: 6579
Points removed: 37, Discriminating Tests: 7683
Points removed: 38, Discriminating Tests: 7891
Points removed: 39, Discriminating Tests: 7909
