Points removed: 0, Discriminating Tests: 8857
Points removed: 1, Discriminating Tests: 10296
Points removed: 2, Discriminating Tests: 8719
Points removed: 3, Discriminating Tests: 8662
Points removed: 4, Discriminating Tests: 9670
Points removed: 5, Discriminating Tests: 10641
Points removed: 6, Discriminating Tests: 9698
Points removed: 7, Discriminating Tests: 9362
Points removed: 8, Discriminating Tests: 10269
Points removed: 9, Discriminating Tests: 10179
Points removed: 10, Discriminating Tests: 9117
Points removed: 11, Discriminating Tests: 8565
Points removed: 12, Discriminating Tests: 8873
Points removed: 13, Discriminating Tests: 9495
Points removed: 14, Discriminating Tests: 8808
Points removed: 15, Discriminating Tests: 8938
Points removed: 16, Discriminating Tests: 8663
Points removed: 17, Discriminating Tests: 10161
Points removed: 18, Discriminating Tests: 9417
Points removed: 19, Discriminating Tests: 11218
Points removed: 20, Discriminating Tests: 10347
Points removed: 21, Discriminating Tests: 10905
Points removed: 22, Discriminating Tests: 11323
Points removed: 23, Discriminating Tests: 11376
Points removed: 24, Discriminating Tests: 10873
Points removed: 25, Discriminating Tests: 11244
Points removed: 26, Discriminating Tests: 11741
Points removed: 27, Discriminating Tests: 12102
Points removed: 28, Discriminating Tests: 12769
Points removed: 29, Discriminating Tests: 12467
Points removed: 30, Discriminating Tests: 12921
Points removed: 31, Discriminating Tests: 12639
Points removed: 32, Discriminating Tests: 13173
Points removed: 33, Discriminating Tests: 13854
Points removed: 34, Discriminating Tests: 12912
Points removed: 35, Discriminating Tests: 14107
Points removed: 36, Discriminating Tests: 13745
Points removed: 37, Discriminating Tests: 14312
Points removed: 38, Discriminating Tests: 14932
Points removed: 39, Discriminating Tests: 14845
Points removed: 40, Discriminating Tests: 15049
Points removed: 41, Discriminating Tests: 15706
Points removed: 42, Discriminating Tests: 14866
Points removed: 43, Discriminating Tests: 15332
Points removed: 44, Discriminating Tests: 16133
Points removed: 45, Discriminating Tests: 16893
Points removed: 46, Discriminating Tests: 16820
Points removed: 47, Discriminating Tests: 17320
Points removed: 48, Discriminating Tests: 16891
Points removed: 49, Discriminating Tests: 17537
Points removed: 50, Discriminating Tests: 16831
Points removed: 51, Discriminating Tests: 17692
Points removed: 52, Discriminating Tests: 17051
Points removed: 53, Discriminating Tests: 17362
Points removed: 54, Discriminating Tests: 18619
Points removed: 55, Discriminating Tests: 17688
Points removed: 56, Discriminating Tests: 18754
Points removed: 57, Discriminating Tests: 18153
Points removed: 58, Discriminating Tests: 18937
Points removed: 59, Discriminating Tests: 18492
Points removed: 60, Discriminating Tests: 19153
Points removed: 61, Discriminating Tests: 19537
Points removed: 62, Discriminating Tests: 18606
Points removed: 63, Discriminating Tests: 19597
Points removed: 64, Discriminating Tests: 19891
Points removed: 65, Discriminating Tests: 20275
Points removed: 66, Discriminating Tests: 19745
Points removed: 67, Discriminating Tests: 19669
Points removed: 68, Discriminating Tests: 19893
Points removed: 69, Discriminating Tests: 21661
Points removed: 70, Discriminating Tests: 22179
Points removed: 71, Discriminating Tests: 20026
Points removed: 72, Discriminating Tests: 20116
Points removed: 73, Discriminating Tests: 20544
Points removed: 74, Discriminating Tests: 20976
Points removed: 75, Discriminating Tests: 21440
Points removed: 76, Discriminating Tests: 21159
Points removed: 77, Discriminating Tests: 21206
Points removed: 78, Discriminating Tests: 21882
Points removed: 79, Discriminating Tests: 21148
Points removed: 8, Discriminating Tests: 10269
Points removed: 48, Discriminating Tests: 16891
Points removed: 88, Discriminating Tests: 22706
Points removed: 128, Discriminating Tests: 27752
Points removed: 168, Discriminating Tests: 30937
Points removed: 208, Discriminating Tests: 36397
Points removed: 248, Discriminating Tests: 38879
Points removed: 288, Discriminating Tests: 40624
Points removed: 328, Discriminating Tests: 41185
Points removed: 368, Discriminating Tests: 42129
