Points removed: 0, Discriminating Tests: 7739
Points removed: 1, Discriminating Tests: 6876
Points removed: 2, Discriminating Tests: 5718
Points removed: 3, Discriminating Tests: 5449
Points removed: 4, Discriminating Tests: 4840
Points removed: 5, Discriminating Tests: 4061
Points removed: 6, Discriminating Tests: 3531
Points removed: 7, Discriminating Tests: 2643
Points removed: 8, Discriminating Tests: 2679
Points removed: 9, Discriminating Tests: 1390
Points removed: 10, Discriminating Tests: 1736
Points removed: 11, Discriminating Tests: 296
Points removed: 12, Discriminating Tests: 32
Points removed: 13, Discriminating Tests: 687
Points removed: 14, Discriminating Tests: 748
Points removed: 15, Discriminating Tests: 1338
Points removed: 16, Discriminating Tests: 2920
Points removed: 17, Discriminating Tests: 3357
Points removed: 18, Discriminating Tests: 3920
Points removed: 19, Discriminating Tests: 4480
Points removed: 20, Discriminating Tests: 4787
Points removed: 21, Discriminating Tests: 5429
Points removed: 22, Discriminating Tests: 6117
Points removed: 23, Discriminating Tests: 6464
Points removed: 24, Discriminating Tests: 7582
Points removed: 25, Discriminating Tests: 7968
Points removed: 26, Discriminating Tests: 7644
Points removed: 27, Discriminating Tests: 9199
Points removed: 28, Discriminating Tests: 8738
Points removed: 29, Discriminating Tests: 9539
Points removed: 30, Discriminating Tests: 9617
Points removed: 31, Discriminating Tests: 10196
Points removed: 32, Discriminating Tests: 11313
Points removed: 33, Discriminating Tests: 12195
Points removed: 34, Discriminating Tests: 12631
Points removed: 35, Discriminating Tests: 12133
Points removed: 36, Discriminating Tests: 13181
Points removed: 37, Discriminating Tests: 14284
Points removed: 38, Discriminating Tests: 15379
Points removed: 39, Discriminating Tests: 15493
