Points removed: 0, Discriminating Tests: 10450
Points removed: 1, Discriminating Tests: 10994
Points removed: 2, Discriminating Tests: 10930
Points removed: 3, Discriminating Tests: 10466
Points removed: 4, Discriminating Tests: 11097
Points removed: 5, Discriminating Tests: 10885
Points removed: 6, Discriminating Tests: 10898
Points removed: 7, Discriminating Tests: 10490
Points removed: 8, Discriminating Tests: 11268
Points removed: 9, Discriminating Tests: 10400
Points removed: 10, Discriminating Tests: 11160
Points removed: 11, Discriminating Tests: 11366
Points removed: 12, Discriminating Tests: 10883
Points removed: 13, Discriminating Tests: 11596
Points removed: 14, Discriminating Tests: 10936
Points removed: 15, Discriminating Tests: 11476
Points removed: 16, Discriminating Tests: 12685
Points removed: 17, Discriminating Tests: 11539
Points removed: 18, Discriminating Tests: 12396
Points removed: 19, Discriminating Tests: 12404
Points removed: 20, Discriminating Tests: 12607
Points removed: 21, Discriminating Tests: 13415
Points removed: 22, Discriminating Tests: 13263
Points removed: 23, Discriminating Tests: 13616
Points removed: 24, Discriminating Tests: 14005
Points removed: 25, Discriminating Tests: 13542
Points removed: 26, Discriminating Tests: 14462
Points removed: 27, Discriminating Tests: 15052
Points removed: 28, Discriminating Tests: 14477
Points removed: 29, Discriminating Tests: 14323
Points removed: 30, Discriminating Tests: 14201
Points removed: 31, Discriminating Tests: 15424
Points removed: 32, Discriminating Tests: 16288
Points removed: 33, Discriminating Tests: 15886
Points removed: 34, Discriminating Tests: 15739
Points removed: 35, Discriminating Tests: 15361
Points removed: 36, Discriminating Tests: 15633
Points removed: 37, Discriminating Tests: 16570
Points removed: 38, Discriminating Tests: 15945
Points removed: 39, Discriminating Tests: 16051
Points removed: 40, Discriminating Tests: 15737
Points removed: 41, Discriminating Tests: 15139
Points removed: 42, Discriminating Tests: 15736
Points removed: 43, Discriminating Tests: 16549
Points removed: 44, Discriminating Tests: 16732
Points removed: 45, Discriminating Tests: 16382
Points removed: 46, Discriminating Tests: 16913
Points removed: 47, Discriminating Tests: 16953
Points removed: 48, Discriminating Tests: 17622
Points removed: 49, Discriminating Tests: 17919
Points removed: 50, Discriminating Tests: 18839
Points removed: 51, Discriminating Tests: 17865
Points removed: 52, Discriminating Tests: 17673
Points removed: 53, Discriminating Tests: 18444
Points removed: 54, Discriminating Tests: 17696
Points removed: 55, Discriminating Tests: 18191
Points removed: 56, Discriminating Tests: 18764
Points removed: 57, Discriminating Tests: 19011
Points removed: 58, Discriminating Tests: 19711
Points removed: 59, Discriminating Tests: 19047
Points removed: 60, Discriminating Tests: 19059
Points removed: 61, Discriminating Tests: 18524
Points removed: 62, Discriminating Tests: 19446
Points removed: 63, Discriminating Tests: 19378
Points removed: 64, Discriminating Tests: 20582
Points removed: 65, Discriminating Tests: 19963
Points removed: 66, Discriminating Tests: 20000
Points removed: 67, Discriminating Tests: 20765
Points removed: 68, Discriminating Tests: 20457
Points removed: 69, Discriminating Tests: 21455
Points removed: 70, Discriminating Tests: 21107
Points removed: 71, Discriminating Tests: 21564
Points removed: 72, Discriminating Tests: 20855
Points removed: 73, Discriminating Tests: 21671
Points removed: 74, Discriminating Tests: 22306
Points removed: 75, Discriminating Tests: 22262
Points removed: 76, Discriminating Tests: 22055
Points removed: 77, Discriminating Tests: 22784
Points removed: 78, Discriminating Tests: 22274
Points removed: 79, Discriminating Tests: 23157
