Points removed: 0, Discriminating Tests: 8084
Points removed: 1, Discriminating Tests: 8043
Points removed: 2, Discriminating Tests: 7292
Points removed: 3, Discriminating Tests: 6930
Points removed: 4, Discriminating Tests: 9875
Points removed: 5, Discriminating Tests: 8843
Points removed: 6, Discriminating Tests: 8455
Points removed: 7, Discriminating Tests: 8400
Points removed: 8, Discriminating Tests: 8950
Points removed: 9, Discriminating Tests: 9016
Points removed: 10, Discriminating Tests: 10036
Points removed: 11, Discriminating Tests: 9193
Points removed: 12, Discriminating Tests: 8764
Points removed: 13, Discriminating Tests: 9463
Points removed: 14, Discriminating Tests: 9778
Points removed: 15, Discriminating Tests: 9949
Points removed: 16, Discriminating Tests: 8613
Points removed: 17, Discriminating Tests: 10205
Points removed: 18, Discriminating Tests: 8804
Points removed: 19, Discriminating Tests: 10203
Points removed: 20, Discriminating Tests: 9780
Points removed: 21, Discriminating Tests: 10139
Points removed: 22, Discriminating Tests: 11089
Points removed: 23, Discriminating Tests: 10710
Points removed: 24, Discriminating Tests: 11198
Points removed: 25, Discriminating Tests: 10307
Points removed: 26, Discriminating Tests: 10421
Points removed: 27, Discriminating Tests: 10936
Points removed: 28, Discriminating Tests: 10847
Points removed: 29, Discriminating Tests: 11375
Points removed: 30, Discriminating Tests: 11908
Points removed: 31, Discriminating Tests: 11956
Points removed: 32, Discriminating Tests: 11636
Points removed: 33, Discriminating Tests: 11647
Points removed: 34, Discriminating Tests: 12395
Points removed: 35, Discriminating Tests: 12683
Points removed: 36, Discriminating Tests: 12539
Points removed: 37, Discriminating Tests: 12518
Points removed: 38, Discriminating Tests: 13184
Points removed: 39, Discriminating Tests: 13366
