Points removed: 0, Discriminating Tests: 10626
Points removed: 1, Discriminating Tests: 9929
Points removed: 2, Discriminating Tests: 9123
Points removed: 3, Discriminating Tests: 9373
Points removed: 4, Discriminating Tests: 10308
Points removed: 5, Discriminating Tests: 10347
Points removed: 6, Discriminating Tests: 10654
Points removed: 7, Discriminating Tests: 10518
Points removed: 8, Discriminating Tests: 10902
Points removed: 9, Discriminating Tests: 10138
Points removed: 10, Discriminating Tests: 10184
Points removed: 11, Discriminating Tests: 11467
Points removed: 12, Discriminating Tests: 9804
Points removed: 13, Discriminating Tests: 10679
Points removed: 14, Discriminating Tests: 10633
Points removed: 15, Discriminating Tests: 10532
Points removed: 16, Discriminating Tests: 10821
Points removed: 17, Discriminating Tests: 11349
Points removed: 18, Discriminating Tests: 10625
Points removed: 19, Discriminating Tests: 9576
Points removed: 20, Discriminating Tests: 9032
Points removed: 21, Discriminating Tests: 10718
Points removed: 22, Discriminating Tests: 10459
Points removed: 23, Discriminating Tests: 10740
Points removed: 24, Discriminating Tests: 10859
Points removed: 25, Discriminating Tests: 11235
Points removed: 26, Discriminating Tests: 11201
Points removed: 27, Discriminating Tests: 11603
Points removed: 28, Discriminating Tests: 11575
Points removed: 29, Discriminating Tests: 11641
Points removed: 30, Discriminating Tests: 11756
Points removed: 31, Discriminating Tests: 12491
Points removed: 32, Discriminating Tests: 12938
Points removed: 33, Discriminating Tests: 12075
Points removed: 34, Discriminating Tests: 12244
Points removed: 35, Discriminating Tests: 11950
Points removed: 36, Discriminating Tests: 12581
Points removed: 37, Discriminating Tests: 12339
Points removed: 38, Discriminating Tests: 12476
Points removed: 39, Discriminating Tests: 12044
