Points removed: 0, Discriminating Tests: 10853
Points removed: 1, Discriminating Tests: 10286
Points removed: 2, Discriminating Tests: 9260
Points removed: 3, Discriminating Tests: 10680
Points removed: 4, Discriminating Tests: 9284
Points removed: 5, Discriminating Tests: 10105
Points removed: 6, Discriminating Tests: 9899
Points removed: 7, Discriminating Tests: 11087
Points removed: 8, Discriminating Tests: 10794
Points removed: 9, Discriminating Tests: 11109
Points removed: 10, Discriminating Tests: 10951
Points removed: 11, Discriminating Tests: 11129
Points removed: 12, Discriminating Tests: 11107
Points removed: 13, Discriminating Tests: 11458
Points removed: 14, Discriminating Tests: 10549
Points removed: 15, Discriminating Tests: 11538
Points removed: 16, Discriminating Tests: 11716
Points removed: 17, Discriminating Tests: 11930
Points removed: 18, Discriminating Tests: 12964
Points removed: 19, Discriminating Tests: 12232
Points removed: 20, Discriminating Tests: 12996
Points removed: 21, Discriminating Tests: 12605
Points removed: 22, Discriminating Tests: 13442
Points removed: 23, Discriminating Tests: 11737
Points removed: 24, Discriminating Tests: 13879
Points removed: 25, Discriminating Tests: 12921
Points removed: 26, Discriminating Tests: 13620
Points removed: 27, Discriminating Tests: 14708
Points removed: 28, Discriminating Tests: 14096
Points removed: 29, Discriminating Tests: 13543
Points removed: 30, Discriminating Tests: 14013
Points removed: 31, Discriminating Tests: 14619
Points removed: 32, Discriminating Tests: 14496
Points removed: 33, Discriminating Tests: 15533
Points removed: 34, Discriminating Tests: 14978
Points removed: 35, Discriminating Tests: 15132
Points removed: 36, Discriminating Tests: 15387
Points removed: 37, Discriminating Tests: 15841
Points removed: 38, Discriminating Tests: 16328
Points removed: 39, Discriminating Tests: 16146
