Points removed: 0, Discriminating Tests: 9740
Points removed: 1, Discriminating Tests: 9485
Points removed: 2, Discriminating Tests: 8870
Points removed: 3, Discriminating Tests: 7450
Points removed: 4, Discriminating Tests: 7434
Points removed: 5, Discriminating Tests: 6554
Points removed: 6, Discriminating Tests: 5609
Points removed: 7, Discriminating Tests: 4794
Points removed: 8, Discriminating Tests: 4830
Points removed: 9, Discriminating Tests: 3474
Points removed: 10, Discriminating Tests: 3722
Points removed: 11, Discriminating Tests: 2135
Points removed: 12, Discriminating Tests: 2470
Points removed: 13, Discriminating Tests: 903
Points removed: 14, Discriminating Tests: 1526
Points removed: 15, Discriminating Tests: 522
Points removed: 16, Discriminating Tests: 958
Points removed: 17, Discriminating Tests: 962
Points removed: 18, Discriminating Tests: 1444
Points removed: 19, Discriminating Tests: 2171
Points removed: 20, Discriminating Tests: 2725
Points removed: 21, Discriminating Tests: 3159
Points removed: 22, Discriminating Tests: 3937
Points removed: 23, Discriminating Tests: 4135
Points removed: 24, Discriminating Tests: 5380
Points removed: 25, Discriminating Tests: 5219
Points removed: 26, Discriminating Tests: 5577
Points removed: 27, Discriminating Tests: 6941
Points removed: 28, Discriminating Tests: 6871
Points removed: 29, Discriminating Tests: 7662
Points removed: 30, Discriminating Tests: 7930
Points removed: 31, Discriminating Tests: 8485
Points removed: 32, Discriminating Tests: 9490
Points removed: 33, Discriminating Tests: 10285
Points removed: 34, Discriminating Tests: 9833
Points removed: 35, Discriminating Tests: 10599
Points removed: 36, Discriminating Tests: 11377
Points removed: 37, Discriminating Tests: 11763
Points removed: 38, Discriminating Tests: 12517
Points removed: 39, Discriminating Tests: 13099
