Points removed: 0, Discriminating Tests: 8704
Points removed: 1, Discriminating Tests: 7368
Points removed: 2, Discriminating Tests: 6699
Points removed: 3, Discriminating Tests: 6430
Points removed: 4, Discriminating Tests: 4727
Points removed: 5, Discriminating Tests: 3660
Points removed: 6, Discriminating Tests: 3827
Points removed: 7, Discriminating Tests: 2974
Points removed: 8, Discriminating Tests: 1188
Points removed: 9, Discriminating Tests: 736
Points removed: 10, Discriminating Tests: 337
Points removed: 11, Discriminating Tests: 500
Points removed: 12, Discriminating Tests: 890
Points removed: 13, Discriminating Tests: 1808
Points removed: 14, Discriminating Tests: 2978
Points removed: 15, Discriminating Tests: 2789
Points removed: 16, Discriminating Tests: 3002
Points removed: 17, Discriminating Tests: 4709
Points removed: 18, Discriminating Tests: 4422
Points removed: 19, Discriminating Tests: 6310
Points removed: 20, Discriminating Tests: 6275
Points removed: 21, Discriminating Tests: 7407
Points removed: 22, Discriminating Tests: 7357
Points removed: 23, Discriminating Tests: 8141
Points removed: 24, Discriminating Tests: 8748
Points removed: 25, Discriminating Tests: 8539
Points removed: 26, Discriminating Tests: 9797
Points removed: 27, Discriminating Tests: 10286
Points removed: 28, Discriminating Tests: 9771
Points removed: 29, Discriminating Tests: 11343
Points removed: 30, Discriminating Tests: 12955
Points removed: 31, Discriminating Tests: 13881
Points removed: 32, Discriminating Tests: 13613
Points removed: 33, Discriminating Tests: 14489
Points removed: 34, Discriminating Tests: 14488
Points removed: 35, Discriminating Tests: 16203
Points removed: 36, Discriminating Tests: 15442
Points removed: 37, Discriminating Tests: 16883
Points removed: 38, Discriminating Tests: 17813
Points removed: 39, Discriminating Tests: 16985
