Points removed: 0, Discriminating Tests: 14060
Points removed: 1, Discriminating Tests: 13432
Points removed: 2, Discriminating Tests: 13872
Points removed: 3, Discriminating Tests: 12016
Points removed: 4, Discriminating Tests: 11139
Points removed: 5, Discriminating Tests: 10977
Points removed: 6, Discriminating Tests: 10712
Points removed: 7, Discriminating Tests: 10245
Points removed: 8, Discriminating Tests: 8936
Points removed: 9, Discriminating Tests: 8349
Points removed: 10, Discriminating Tests: 8700
Points removed: 11, Discriminating Tests: 8190
Points removed: 12, Discriminating Tests: 7195
Points removed: 13, Discriminating Tests: 7810
Points removed: 14, Discriminating Tests: 7180
Points removed: 15, Discriminating Tests: 6827
Points removed: 16, Discriminating Tests: 7086
Points removed: 17, Discriminating Tests: 5369
Points removed: 18, Discriminating Tests: 6365
Points removed: 19, Discriminating Tests: 4542
Points removed: 20, Discriminating Tests: 3974
Points removed: 21, Discriminating Tests: 3842
Points removed: 22, Discriminating Tests: 3168
Points removed: 23, Discriminating Tests: 3951
Points removed: 24, Discriminating Tests: 2491
Points removed: 25, Discriminating Tests: 2924
Points removed: 26, Discriminating Tests: 2536
Points removed: 27, Discriminating Tests: 2081
Points removed: 28, Discriminating Tests: 2603
Points removed: 29, Discriminating Tests: 1527
Points removed: 30, Discriminating Tests: 589
Points removed: 31, Discriminating Tests: 711
Points removed: 32, Discriminating Tests: 1097
Points removed: 33, Discriminating Tests: 222
Points removed: 34, Discriminating Tests: 791
Points removed: 35, Discriminating Tests: 1576
Points removed: 36, Discriminating Tests: 1119
Points removed: 37, Discriminating Tests: 1996
Points removed: 38, Discriminating Tests: 2699
Points removed: 39, Discriminating Tests: 1836
