Points removed: 0, Discriminating Tests: 8894
Points removed: 1, Discriminating Tests: 9125
Points removed: 2, Discriminating Tests: 9009
Points removed: 3, Discriminating Tests: 8033
Points removed: 4, Discriminating Tests: 6891
Points removed: 5, Discriminating Tests: 6080
Points removed: 6, Discriminating Tests: 6098
Points removed: 7, Discriminating Tests: 6447
Points removed: 8, Discriminating Tests: 5092
Points removed: 9, Discriminating Tests: 4287
Points removed: 10, Discriminating Tests: 3471
Points removed: 11, Discriminating Tests: 3830
Points removed: 12, Discriminating Tests: 3674
Points removed: 13, Discriminating Tests: 3782
Points removed: 14, Discriminating Tests: 3091
Points removed: 15, Discriminating Tests: 1590
Points removed: 16, Discriminating Tests: 2372
Points removed: 17, Discriminating Tests: 740
Points removed: 18, Discriminating Tests: 1903
Points removed: 19, Discriminating Tests: 935
Points removed: 20, Discriminating Tests: 560
Points removed: 21, Discriminating Tests: 149
Points removed: 22, Discriminating Tests: 519
Points removed: 23, Discriminating Tests: 791
Points removed: 24, Discriminating Tests: 1183
Points removed: 25, Discriminating Tests: 836
Points removed: 26, Discriminating Tests: 1591
Points removed: 27, Discriminating Tests: 2092
Points removed: 28, Discriminating Tests: 2583
Points removed: 29, Discriminating Tests: 3828
Points removed: 30, Discriminating Tests: 2740
Points removed: 31, Discriminating Tests: 3869
Points removed: 32, Discriminating Tests: 3453
Points removed: 33, Discriminating Tests: 3850
Points removed: 34, Discriminating Tests: 3521
Points removed: 35, Discriminating Tests: 4267
Points removed: 36, Discriminating Tests: 3999
Points removed: 37, Discriminating Tests: 4513
Points removed: 38, Discriminating Tests: 5445
Points removed: 39, Discriminating Tests: 5180
Points removed: 40, Discriminating Tests: 6815
Points removed: 41, Discriminating Tests: 6288
Points removed: 42, Discriminating Tests: 5669
Points removed: 43, Discriminating Tests: 5896
Points removed: 44, Discriminating Tests: 6121
Points removed: 45, Discriminating Tests: 6299
Points removed: 46, Discriminating Tests: 6110
Points removed: 47, Discriminating Tests: 6336
Points removed: 48, Discriminating Tests: 6933
Points removed: 49, Discriminating Tests: 6709
Points removed: 50, Discriminating Tests: 6692
Points removed: 51, Discriminating Tests: 6897
Points removed: 52, Discriminating Tests: 8039
Points removed: 53, Discriminating Tests: 7349
Points removed: 54, Discriminating Tests: 8415
Points removed: 55, Discriminating Tests: 7492
Points removed: 56, Discriminating Tests: 7590
Points removed: 57, Discriminating Tests: 8238
Points removed: 58, Discriminating Tests: 8236
Points removed: 59, Discriminating Tests: 8483
Points removed: 60, Discriminating Tests: 8217
Points removed: 61, Discriminating Tests: 8480
Points removed: 62, Discriminating Tests: 8176
Points removed: 63, Discriminating Tests: 7845
Points removed: 64, Discriminating Tests: 8904
Points removed: 65, Discriminating Tests: 7381
Points removed: 66, Discriminating Tests: 8758
Points removed: 67, Discriminating Tests: 7605
Points removed: 68, Discriminating Tests: 7260
Points removed: 69, Discriminating Tests: 7057
Points removed: 70, Discriminating Tests: 6720
Points removed: 71, Discriminating Tests: 8005
Points removed: 72, Discriminating Tests: 8203
Points removed: 73, Discriminating Tests: 8270
Points removed: 74, Discriminating Tests: 9149
Points removed: 75, Discriminating Tests: 9642
Points removed: 76, Discriminating Tests: 10400
Points removed: 77, Discriminating Tests: 10975
Points removed: 78, Discriminating Tests: 10979
Points removed: 79, Discriminating Tests: 9904
Points removed: 80, Discriminating Tests: 10173
Points removed: 81, Discriminating Tests: 10913
Points removed: 82, Discriminating Tests: 11250
Points removed: 83, Discriminating Tests: 10274
Points removed: 84, Discriminating Tests: 10654
Points removed: 85, Discriminating Tests: 10504
Points removed: 86, Discriminating Tests: 11143
Points removed: 87, Discriminating Tests: 12209
Points removed: 88, Discriminating Tests: 11328
Points removed: 89, Discriminating Tests: 12147
Points removed: 90, Discriminating Tests: 12825
Points removed: 91, Discriminating Tests: 11941
Points removed: 92, Discriminating Tests: 12738
Points removed: 93, Discriminating Tests: 12578
Points removed: 94, Discriminating Tests: 12209
Points removed: 95, Discriminating Tests: 13290
Points removed: 96, Discriminating Tests: 12353
Points removed: 97, Discriminating Tests: 12954
Points removed: 98, Discriminating Tests: 12534
Points removed: 99, Discriminating Tests: 12668
