Points removed: 0, Discriminating Tests: 8456
Points removed: 1, Discriminating Tests: 8102
Points removed: 2, Discriminating Tests: 7687
Points removed: 3, Discriminating Tests: 7995
Points removed: 4, Discriminating Tests: 8670
Points removed: 5, Discriminating Tests: 8281
Points removed: 6, Discriminating Tests: 7335
Points removed: 7, Discriminating Tests: 7390
Points removed: 8, Discriminating Tests: 7399
Points removed: 9, Discriminating Tests: 7303
Points removed: 10, Discriminating Tests: 7437
Points removed: 11, Discriminating Tests: 7033
Points removed: 12, Discriminating Tests: 7744
Points removed: 13, Discriminating Tests: 7759
Points removed: 14, Discriminating Tests: 8203
Points removed: 15, Discriminating Tests: 8200
Points removed: 16, Discriminating Tests: 8078
Points removed: 17, Discriminating Tests: 9834
Points removed: 18, Discriminating Tests: 8528
Points removed: 19, Discriminating Tests: 8684
Points removed: 20, Discriminating Tests: 8768
Points removed: 21, Discriminating Tests: 9320
Points removed: 22, Discriminating Tests: 10006
Points removed: 23, Discriminating Tests: 8859
Points removed: 24, Discriminating Tests: 10253
Points removed: 25, Discriminating Tests: 9781
Points removed: 26, Discriminating Tests: 10349
Points removed: 27, Discriminating Tests: 9880
Points removed: 28, Discriminating Tests: 10802
Points removed: 29, Discriminating Tests: 10875
Points removed: 30, Discriminating Tests: 10471
Points removed: 31, Discriminating Tests: 10777
Points removed: 32, Discriminating Tests: 9867
Points removed: 33, Discriminating Tests: 8903
Points removed: 34, Discriminating Tests: 9523
Points removed: 35, Discriminating Tests: 10295
Points removed: 36, Discriminating Tests: 10764
Points removed: 37, Discriminating Tests: 10128
Points removed: 38, Discriminating Tests: 9728
Points removed: 39, Discriminating Tests: 10198
Points removed: 40, Discriminating Tests: 10446
Points removed: 41, Discriminating Tests: 11305
Points removed: 42, Discriminating Tests: 11287
Points removed: 43, Discriminating Tests: 11260
Points removed: 44, Discriminating Tests: 12495
Points removed: 45, Discriminating Tests: 12021
Points removed: 46, Discriminating Tests: 12330
Points removed: 47, Discriminating Tests: 12104
Points removed: 48, Discriminating Tests: 11956
Points removed: 49, Discriminating Tests: 12148
Points removed: 50, Discriminating Tests: 14089
Points removed: 51, Discriminating Tests: 13808
Points removed: 52, Discriminating Tests: 13688
Points removed: 53, Discriminating Tests: 13109
Points removed: 54, Discriminating Tests: 13398
Points removed: 55, Discriminating Tests: 13186
Points removed: 56, Discriminating Tests: 12981
Points removed: 57, Discriminating Tests: 12727
Points removed: 58, Discriminating Tests: 12623
Points removed: 59, Discriminating Tests: 12691
Points removed: 60, Discriminating Tests: 13663
Points removed: 61, Discriminating Tests: 13593
Points removed: 62, Discriminating Tests: 13972
Points removed: 63, Discriminating Tests: 13677
Points removed: 64, Discriminating Tests: 14527
Points removed: 65, Discriminating Tests: 14308
Points removed: 66, Discriminating Tests: 14507
Points removed: 67, Discriminating Tests: 14805
Points removed: 68, Discriminating Tests: 14749
Points removed: 69, Discriminating Tests: 15180
Points removed: 70, Discriminating Tests: 14618
Points removed: 71, Discriminating Tests: 14744
Points removed: 72, Discriminating Tests: 15086
Points removed: 73, Discriminating Tests: 15881
Points removed: 74, Discriminating Tests: 15912
Points removed: 75, Discriminating Tests: 15831
Points removed: 76, Discriminating Tests: 15559
Points removed: 77, Discriminating Tests: 16475
Points removed: 78, Discriminating Tests: 15931
Points removed: 79, Discriminating Tests: 16934
