Points removed: 0, Discriminating Tests: 10814
Points removed: 1, Discriminating Tests: 8796
Points removed: 2, Discriminating Tests: 8211
Points removed: 3, Discriminating Tests: 8191
Points removed: 4, Discriminating Tests: 6372
Points removed: 5, Discriminating Tests: 5887
Points removed: 6, Discriminating Tests: 6232
Points removed: 7, Discriminating Tests: 4863
Points removed: 8, Discriminating Tests: 3920
Points removed: 9, Discriminating Tests: 2903
Points removed: 10, Discriminating Tests: 2484
Points removed: 11, Discriminating Tests: 2846
Points removed: 12, Discriminating Tests: 1686
Points removed: 13, Discriminating Tests: 1897
Points removed: 14, Discriminating Tests: 957
Points removed: 15, Discriminating Tests: 371
Points removed: 16, Discriminating Tests: 642
Points removed: 17, Discriminating Tests: 1157
Points removed: 18, Discriminating Tests: 634
Points removed: 19, Discriminating Tests: 2393
Points removed: 20, Discriminating Tests: 2286
Points removed: 21, Discriminating Tests: 3441
Points removed: 22, Discriminating Tests: 3327
Points removed: 23, Discriminating Tests: 3898
Points removed: 24, Discriminating Tests: 4503
Points removed: 25, Discriminating Tests: 4547
Points removed: 26, Discriminating Tests: 5674
Points removed: 27, Discriminating Tests: 5563
Points removed: 28, Discriminating Tests: 5565
Points removed: 29, Discriminating Tests: 6767
Points removed: 30, Discriminating Tests: 8023
Points removed: 31, Discriminating Tests: 8835
Points removed: 32, Discriminating Tests: 8423
Points removed: 33, Discriminating Tests: 8890
Points removed: 34, Discriminating Tests: 9497
Points removed: 35, Discriminating Tests: 10664
Points removed: 36, Discriminating Tests: 10122
Points removed: 37, Discriminating Tests: 10765
Points removed: 38, Discriminating Tests: 11634
Points removed: 39, Discriminating Tests: 11504
