Points removed: 0, Discriminating Tests: 9870
Points removed: 1, Discriminating Tests: 8191
Points removed: 2, Discriminating Tests: 7991
Points removed: 3, Discriminating Tests: 7404
Points removed: 4, Discriminating Tests: 6539
Points removed: 5, Discriminating Tests: 5775
Points removed: 6, Discriminating Tests: 5393
Points removed: 7, Discriminating Tests: 4745
Points removed: 8, Discriminating Tests: 4494
Points removed: 9, Discriminating Tests: 3104
Points removed: 10, Discriminating Tests: 3665
Points removed: 11, Discriminating Tests: 1687
Points removed: 12, Discriminating Tests: 2025
Points removed: 13, Discriminating Tests: 1574
Points removed: 14, Discriminating Tests: 1479
Points removed: 15, Discriminating Tests: 632
Points removed: 16, Discriminating Tests: 1234
Points removed: 17, Discriminating Tests: 1212
Points removed: 18, Discriminating Tests: 1213
Points removed: 19, Discriminating Tests: 2015
Points removed: 20, Discriminating Tests: 2634
Points removed: 21, Discriminating Tests: 3151
Points removed: 22, Discriminating Tests: 4074
Points removed: 23, Discriminating Tests: 3657
Points removed: 24, Discriminating Tests: 4975
Points removed: 25, Discriminating Tests: 4952
Points removed: 26, Discriminating Tests: 5195
Points removed: 27, Discriminating Tests: 6425
Points removed: 28, Discriminating Tests: 6221
Points removed: 29, Discriminating Tests: 6753
Points removed: 30, Discriminating Tests: 6945
Points removed: 31, Discriminating Tests: 7779
Points removed: 32, Discriminating Tests: 7997
Points removed: 33, Discriminating Tests: 9083
Points removed: 34, Discriminating Tests: 8823
Points removed: 35, Discriminating Tests: 9255
Points removed: 36, Discriminating Tests: 10506
Points removed: 37, Discriminating Tests: 10105
Points removed: 38, Discriminating Tests: 11526
Points removed: 39, Discriminating Tests: 11501
