Points removed: 0, Discriminating Tests: 7810
Points removed: 1, Discriminating Tests: 6808
Points removed: 2, Discriminating Tests: 6699
Points removed: 3, Discriminating Tests: 5726
Points removed: 4, Discriminating Tests: 5523
Points removed: 5, Discriminating Tests: 3876
Points removed: 6, Discriminating Tests: 3154
Points removed: 7, Discriminating Tests: 3002
Points removed: 8, Discriminating Tests: 2627
Points removed: 9, Discriminating Tests: 652
Points removed: 10, Discriminating Tests: 541
Points removed: 11, Discriminating Tests: 716
Points removed: 12, Discriminating Tests: 561
Points removed: 13, Discriminating Tests: 2297
Points removed: 14, Discriminating Tests: 1115
Points removed: 15, Discriminating Tests: 1814
Points removed: 16, Discriminating Tests: 3903
Points removed: 17, Discriminating Tests: 4434
Points removed: 18, Discriminating Tests: 4925
Points removed: 19, Discriminating Tests: 5796
Points removed: 20, Discriminating Tests: 6581
Points removed: 21, Discriminating Tests: 7264
Points removed: 22, Discriminating Tests: 8500
Points removed: 23, Discriminating Tests: 7956
Points removed: 24, Discriminating Tests: 9017
Points removed: 25, Discriminating Tests: 8879
Points removed: 26, Discriminating Tests: 9267
Points removed: 27, Discriminating Tests: 10873
Points removed: 28, Discriminating Tests: 10961
Points removed: 29, Discriminating Tests: 11580
Points removed: 30, Discriminating Tests: 11996
Points removed: 31, Discriminating Tests: 12712
Points removed: 32, Discriminating Tests: 13731
Points removed: 33, Discriminating Tests: 14899
Points removed: 34, Discriminating Tests: 14964
Points removed: 35, Discriminating Tests: 15147
Points removed: 36, Discriminating Tests: 16194
Points removed: 37, Discriminating Tests: 17064
Points removed: 38, Discriminating Tests: 17990
Points removed: 39, Discriminating Tests: 18562
Points removed: 40, Discriminating Tests: 19798
Points removed: 41, Discriminating Tests: 19995
Points removed: 42, Discriminating Tests: 19819
Points removed: 43, Discriminating Tests: 20468
Points removed: 44, Discriminating Tests: 22015
Points removed: 45, Discriminating Tests: 22597
Points removed: 46, Discriminating Tests: 22992
Points removed: 47, Discriminating Tests: 24715
Points removed: 48, Discriminating Tests: 24607
Points removed: 49, Discriminating Tests: 25324
Points removed: 50, Discriminating Tests: 26415
Points removed: 51, Discriminating Tests: 25879
Points removed: 52, Discriminating Tests: 26272
Points removed: 53, Discriminating Tests: 25640
Points removed: 54, Discriminating Tests: 27099
Points removed: 55, Discriminating Tests: 26739
Points removed: 56, Discriminating Tests: 27717
Points removed: 57, Discriminating Tests: 28910
Points removed: 58, Discriminating Tests: 29093
Points removed: 59, Discriminating Tests: 28699
Points removed: 60, Discriminating Tests: 29883
Points removed: 61, Discriminating Tests: 30926
Points removed: 62, Discriminating Tests: 30358
Points removed: 63, Discriminating Tests: 31837
Points removed: 64, Discriminating Tests: 32186
Points removed: 65, Discriminating Tests: 31872
Points removed: 66, Discriminating Tests: 33752
Points removed: 67, Discriminating Tests: 33418
Points removed: 68, Discriminating Tests: 34344
Points removed: 69, Discriminating Tests: 34600
Points removed: 70, Discriminating Tests: 35773
Points removed: 71, Discriminating Tests: 35791
Points removed: 72, Discriminating Tests: 35867
Points removed: 73, Discriminating Tests: 36198
Points removed: 74, Discriminating Tests: 36821
Points removed: 75, Discriminating Tests: 37118
Points removed: 76, Discriminating Tests: 36804
Points removed: 77, Discriminating Tests: 36936
Points removed: 78, Discriminating Tests: 38653
Points removed: 79, Discriminating Tests: 38875
Points removed: 80, Discriminating Tests: 38152
Points removed: 81, Discriminating Tests: 38144
Points removed: 82, Discriminating Tests: 39636
Points removed: 83, Discriminating Tests: 39382
Points removed: 84, Discriminating Tests: 40470
Points removed: 85, Discriminating Tests: 40674
Points removed: 86, Discriminating Tests: 40797
Points removed: 87, Discriminating Tests: 40645
Points removed: 88, Discriminating Tests: 40746
Points removed: 89, Discriminating Tests: 42195
Points removed: 90, Discriminating Tests: 43168
Points removed: 91, Discriminating Tests: 42497
Points removed: 92, Discriminating Tests: 42813
Points removed: 93, Discriminating Tests: 42622
Points removed: 94, Discriminating Tests: 43023
Points removed: 95, Discriminating Tests: 43278
Points removed: 96, Discriminating Tests: 43397
Points removed: 97, Discriminating Tests: 43130
Points removed: 98, Discriminating Tests: 44664
Points removed: 99, Discriminating Tests: 42924
Points removed: 100, Discriminating Tests: 43630
Points removed: 101, Discriminating Tests: 43993
Points removed: 102, Discriminating Tests: 43171
Points removed: 103, Discriminating Tests: 43826
Points removed: 104, Discriminating Tests: 44269
Points removed: 105, Discriminating Tests: 45435
Points removed: 106, Discriminating Tests: 46261
Points removed: 107, Discriminating Tests: 45391
Points removed: 108, Discriminating Tests: 47238
Points removed: 109, Discriminating Tests: 47669
Points removed: 110, Discriminating Tests: 49151
Points removed: 111, Discriminating Tests: 49718
Points removed: 112, Discriminating Tests: 50781
Points removed: 113, Discriminating Tests: 50105
Points removed: 114, Discriminating Tests: 50262
Points removed: 115, Discriminating Tests: 50379
Points removed: 116, Discriminating Tests: 50462
Points removed: 117, Discriminating Tests: 50725
Points removed: 118, Discriminating Tests: 51127
Points removed: 119, Discriminating Tests: 52495
