Points removed: 0, Discriminating Tests: 9342
Points removed: 1, Discriminating Tests: 8670
Points removed: 2, Discriminating Tests: 7748
Points removed: 3, Discriminating Tests: 8622
Points removed: 4, Discriminating Tests: 7893
Points removed: 5, Discriminating Tests: 8935
Points removed: 6, Discriminating Tests: 8555
Points removed: 7, Discriminating Tests: 8980
Points removed: 8, Discriminating Tests: 8159
Points removed: 9, Discriminating Tests: 9359
Points removed: 10, Discriminating Tests: 8972
Points removed: 11, Discriminating Tests: 9502
Points removed: 12, Discriminating Tests: 9191
Points removed: 13, Discriminating Tests: 9754
Points removed: 14, Discriminating Tests: 9594
Points removed: 15, Discriminating Tests: 9757
Points removed: 16, Discriminating Tests: 9341
Points removed: 17, Discriminating Tests: 9944
Points removed: 18, Discriminating Tests: 9288
Points removed: 19, Discriminating Tests: 9801
Points removed: 20, Discriminating Tests: 9446
Points removed: 21, Discriminating Tests: 9802
Points removed: 22, Discriminating Tests: 10744
Points removed: 23, Discriminating Tests: 10804
Points removed: 24, Discriminating Tests: 11423
Points removed: 25, Discriminating Tests: 10498
Points removed: 26, Discriminating Tests: 10288
Points removed: 27, Discriminating Tests: 11267
Points removed: 28, Discriminating Tests: 10978
Points removed: 29, Discriminating Tests: 10497
Points removed: 30, Discriminating Tests: 10011
Points removed: 31, Discriminating Tests: 10716
Points removed: 32, Discriminating Tests: 10719
Points removed: 33, Discriminating Tests: 10460
Points removed: 34, Discriminating Tests: 10252
Points removed: 35, Discriminating Tests: 9894
Points removed: 36, Discriminating Tests: 11183
Points removed: 37, Discriminating Tests: 10761
Points removed: 38, Discriminating Tests: 10944
Points removed: 39, Discriminating Tests: 11283
