Points removed: 0, Discriminating Tests: 16050
Points removed: 1, Discriminating Tests: 15985
Points removed: 2, Discriminating Tests: 14667
Points removed: 3, Discriminating Tests: 14784
Points removed: 4, Discriminating Tests: 14995
Points removed: 5, Discriminating Tests: 13721
Points removed: 6, Discriminating Tests: 13472
Points removed: 7, Discriminating Tests: 13547
Points removed: 8, Discriminating Tests: 13153
Points removed: 9, Discriminating Tests: 13168
Points removed: 10, Discriminating Tests: 13650
Points removed: 11, Discriminating Tests: 12257
Points removed: 12, Discriminating Tests: 12237
Points removed: 13, Discriminating Tests: 12648
Points removed: 14, Discriminating Tests: 12543
Points removed: 15, Discriminating Tests: 12450
Points removed: 16, Discriminating Tests: 11586
Points removed: 17, Discriminating Tests: 10928
Points removed: 18, Discriminating Tests: 11186
Points removed: 19, Discriminating Tests: 10212
Points removed: 20, Discriminating Tests: 10208
Points removed: 21, Discriminating Tests: 9408
Points removed: 22, Discriminating Tests: 8922
Points removed: 23, Discriminating Tests: 10230
Points removed: 24, Discriminating Tests: 8802
Points removed: 25, Discriminating Tests: 9096
Points removed: 26, Discriminating Tests: 9213
Points removed: 27, Discriminating Tests: 8516
Points removed: 28, Discriminating Tests: 8498
Points removed: 29, Discriminating Tests: 7762
Points removed: 30, Discriminating Tests: 7600
Points removed: 31, Discriminating Tests: 7510
Points removed: 32, Discriminating Tests: 6968
Points removed: 33, Discriminating Tests: 6316
Points removed: 34, Discriminating Tests: 6952
Points removed: 35, Discriminating Tests: 6394
Points removed: 36, Discriminating Tests: 6119
Points removed: 37, Discriminating Tests: 6039
Points removed: 38, Discriminating Tests: 6520
Points removed: 39, Discriminating Tests: 5829
Points removed: 40, Discriminating Tests: 5184
Points removed: 41, Discriminating Tests: 4985
Points removed: 42, Discriminating Tests: 5632
Points removed: 43, Discriminating Tests: 4658
Points removed: 44, Discriminating Tests: 4751
Points removed: 45, Discriminating Tests: 4514
Points removed: 46, Discriminating Tests: 3973
Points removed: 47, Discriminating Tests: 4227
Points removed: 48, Discriminating Tests: 2899
Points removed: 49, Discriminating Tests: 2951
Points removed: 50, Discriminating Tests: 2514
Points removed: 51, Discriminating Tests: 2679
Points removed: 52, Discriminating Tests: 1322
Points removed: 53, Discriminating Tests: 2080
Points removed: 54, Discriminating Tests: 827
Points removed: 55, Discriminating Tests: 1507
Points removed: 56, Discriminating Tests: 1421
Points removed: 57, Discriminating Tests: 562
Points removed: 58, Discriminating Tests: 2007
Points removed: 59, Discriminating Tests: 1483
Points removed: 60, Discriminating Tests: 925
Points removed: 61, Discriminating Tests: 664
Points removed: 62, Discriminating Tests: 664
Points removed: 63, Discriminating Tests: 699
Points removed: 64, Discriminating Tests: 350
Points removed: 65, Discriminating Tests: 237
Points removed: 66, Discriminating Tests: 1379
Points removed: 67, Discriminating Tests: 448
Points removed: 68, Discriminating Tests: 1051
Points removed: 69, Discriminating Tests: 1368
Points removed: 70, Discriminating Tests: 1368
Points removed: 71, Discriminating Tests: 1468
Points removed: 72, Discriminating Tests: 1954
Points removed: 73, Discriminating Tests: 2991
Points removed: 74, Discriminating Tests: 2993
Points removed: 75, Discriminating Tests: 3269
Points removed: 76, Discriminating Tests: 3060
Points removed: 77, Discriminating Tests: 3743
Points removed: 78, Discriminating Tests: 3743
Points removed: 79, Discriminating Tests: 3809
