Points removed: 0, Discriminating Tests: 8813
Points removed: 1, Discriminating Tests: 8755
Points removed: 2, Discriminating Tests: 8328
Points removed: 3, Discriminating Tests: 8516
Points removed: 4, Discriminating Tests: 8214
Points removed: 5, Discriminating Tests: 7621
Points removed: 6, Discriminating Tests: 7650
Points removed: 7, Discriminating Tests: 8058
Points removed: 8, Discriminating Tests: 7529
Points removed: 9, Discriminating Tests: 8524
Points removed: 10, Discriminating Tests: 8297
Points removed: 11, Discriminating Tests: 8766
Points removed: 12, Discriminating Tests: 7375
Points removed: 13, Discriminating Tests: 8142
Points removed: 14, Discriminating Tests: 8582
Points removed: 15, Discriminating Tests: 7800
Points removed: 16, Discriminating Tests: 8806
Points removed: 17, Discriminating Tests: 8236
Points removed: 18, Discriminating Tests: 8505
Points removed: 19, Discriminating Tests: 9385
Points removed: 20, Discriminating Tests: 9961
Points removed: 21, Discriminating Tests: 9614
Points removed: 22, Discriminating Tests: 10154
Points removed: 23, Discriminating Tests: 10067
Points removed: 24, Discriminating Tests: 10033
Points removed: 25, Discriminating Tests: 10105
Points removed: 26, Discriminating Tests: 10626
Points removed: 27, Discriminating Tests: 11116
Points removed: 28, Discriminating Tests: 10383
Points removed: 29, Discriminating Tests: 10709
Points removed: 30, Discriminating Tests: 10129
Points removed: 31, Discriminating Tests: 10706
Points removed: 32, Discriminating Tests: 9891
Points removed: 33, Discriminating Tests: 11426
Points removed: 34, Discriminating Tests: 11015
Points removed: 35, Discriminating Tests: 10498
Points removed: 36, Discriminating Tests: 11593
Points removed: 37, Discriminating Tests: 12062
Points removed: 38, Discriminating Tests: 12094
Points removed: 39, Discriminating Tests: 11653
Points removed: 40, Discriminating Tests: 12371
Points removed: 41, Discriminating Tests: 12082
Points removed: 42, Discriminating Tests: 12951
Points removed: 43, Discriminating Tests: 12762
Points removed: 44, Discriminating Tests: 13452
Points removed: 45, Discriminating Tests: 12738
Points removed: 46, Discriminating Tests: 12890
Points removed: 47, Discriminating Tests: 12866
Points removed: 48, Discriminating Tests: 13140
Points removed: 49, Discriminating Tests: 13320
Points removed: 50, Discriminating Tests: 13596
Points removed: 51, Discriminating Tests: 13642
Points removed: 52, Discriminating Tests: 14351
Points removed: 53, Discriminating Tests: 13787
Points removed: 54, Discriminating Tests: 13714
Points removed: 55, Discriminating Tests: 13759
Points removed: 56, Discriminating Tests: 14270
Points removed: 57, Discriminating Tests: 15283
Points removed: 58, Discriminating Tests: 13969
Points removed: 59, Discriminating Tests: 14912
Points removed: 60, Discriminating Tests: 15082
Points removed: 61, Discriminating Tests: 15633
Points removed: 62, Discriminating Tests: 15706
Points removed: 63, Discriminating Tests: 16021
Points removed: 64, Discriminating Tests: 15342
Points removed: 65, Discriminating Tests: 13648
Points removed: 66, Discriminating Tests: 14716
Points removed: 67, Discriminating Tests: 14935
Points removed: 68, Discriminating Tests: 15183
Points removed: 69, Discriminating Tests: 15301
Points removed: 70, Discriminating Tests: 15270
Points removed: 71, Discriminating Tests: 15508
Points removed: 72, Discriminating Tests: 15081
Points removed: 73, Discriminating Tests: 16240
Points removed: 74, Discriminating Tests: 15365
Points removed: 75, Discriminating Tests: 15671
Points removed: 76, Discriminating Tests: 14955
Points removed: 77, Discriminating Tests: 15184
Points removed: 78, Discriminating Tests: 15741
Points removed: 79, Discriminating Tests: 15280
