Points removed: 0, Discriminating Tests: 7615
Points removed: 1, Discriminating Tests: 6876
Points removed: 2, Discriminating Tests: 5599
Points removed: 3, Discriminating Tests: 5383
Points removed: 4, Discriminating Tests: 4969
Points removed: 5, Discriminating Tests: 3985
Points removed: 6, Discriminating Tests: 3377
Points removed: 7, Discriminating Tests: 2676
Points removed: 8, Discriminating Tests: 2354
Points removed: 9, Discriminating Tests: 909
Points removed: 10, Discriminating Tests: 1092
Points removed: 11, Discriminating Tests: 708
Points removed: 12, Discriminating Tests: 534
Points removed: 13, Discriminating Tests: 1463
Points removed: 14, Discriminating Tests: 1187
Points removed: 15, Discriminating Tests: 1758
Points removed: 16, Discriminating Tests: 3209
Points removed: 17, Discriminating Tests: 3611
Points removed: 18, Discriminating Tests: 4083
Points removed: 19, Discriminating Tests: 4799
Points removed: 20, Discriminating Tests: 5313
Points removed: 21, Discriminating Tests: 6199
Points removed: 22, Discriminating Tests: 6840
Points removed: 23, Discriminating Tests: 6755
Points removed: 24, Discriminating Tests: 7762
Points removed: 25, Discriminating Tests: 7586
Points removed: 26, Discriminating Tests: 8010
Points removed: 27, Discriminating Tests: 9400
Points removed: 28, Discriminating Tests: 9308
Points removed: 29, Discriminating Tests: 9885
Points removed: 30, Discriminating Tests: 10243
Points removed: 31, Discriminating Tests: 10856
Points removed: 32, Discriminating Tests: 11449
Points removed: 33, Discriminating Tests: 12301
Points removed: 34, Discriminating Tests: 12093
Points removed: 35, Discriminating Tests: 12864
Points removed: 36, Discriminating Tests: 13322
Points removed: 37, Discriminating Tests: 14150
Points removed: 38, Discriminating Tests: 14954
Points removed: 39, Discriminating Tests: 15120
